Entry(0): Poverty: 2.4, State: Utah, County: Morgan County, Income: 86071, Total Pop: 11014
Entry(812): Poverty: 11.5, State: Georgia, County: Glascock County, Income: 45273, Total Pop: 3027
Entry(813): Poverty: 11.5, State: California, County: Solano County, Income: 72950, Total Pop: 434981
Entry(814): Poverty: 11.5, State: Pennsylvania, County: Fulton County, Income: 50007, Total Pop: 14631
Entry(815): Poverty: 11.5, State: North Carolina, County: Cabarrus County, Income: 60716, Total Pop: 196716
Entry(816): Poverty: 11.5, State: Nebraska, County: Nemaha County, Income: 55536, Total Pop: 7041
Entry(817): Poverty: 11.5, State: Kentucky, County: Scott County, Income: 65598, Total Pop: 52322
Entry(818): Poverty: 11.5, State: Idaho, County: Lincoln County, Income: 46383, Total Pop: 5296
Entry(819): Poverty: 11.5, State: Nebraska, County: Valley County, Income: 50270, Total Pop: 4252
Entry(820): Poverty: 11.5, State: Minnesota, County: Mille Lacs County, Income: 53737, Total Pop: 25635
Entry(821): Poverty: 11.5, State: Indiana, County: Marshall County, Income: 51869, Total Pop: 46752
Entry(822): Poverty: 11.5, State: Colorado, County: Kit Carson County, Income: 45881, Total Pop: 7846
Entry(823): Poverty: 11.5, State: Arizona, County: Greenlee County, Income: 56298, Total Pop: 9368
Entry(824): Poverty: 11.5, State: Florida, County: Okaloosa County, Income: 59955, Total Pop: 197591
Entry(825): Poverty: 11.5, State: Minnesota, County: Faribault County, Income: 50847, Total Pop: 13966
Entry(826): Poverty: 11.5, State: Minnesota, County: Hennepin County, Income: 71154, Total Pop: 1224763
Entry(827): Poverty: 11.5, State: Nebraska, County: Antelope County, Income: 46949, Total Pop: 6406
Entry(828): Poverty: 11.5, State: Nevada, County: Elko County, Income: 76178, Total Pop: 52377
Entry(829): Poverty: 11.5, State: Wisconsin, County: Shawano County, Income: 51751, Total Pop: 41136
Entry(830): Poverty: 11.6, State: Texas, County: Glasscock County, Income: 64886, Total Pop: 1420
Entry(831): Poverty: 11.6, State: South Dakota, County: Miner County, Income: 50658, Total Pop: 2255
Entry(832): Poverty: 11.6, State: Nebraska, County: Saline County, Income: 50932, Total Pop: 14325
Entry(833): Poverty: 11.6, State: Illinois, County: Brown County, Income: 56289, Total Pop: 6791
Entry(834): Poverty: 11.6, State: Idaho, County: Power County, Income: 47602, Total Pop: 7667
Entry(835): Poverty: 11.6, State: Georgia, County: Lee County, Income: 65018, Total Pop: 29216
Entry(836): Poverty: 11.6, State: Georgia, County: Coweta County, Income: 67570, Total Pop: 138015
Entry(837): Poverty: 11.6, State: New York, County: Cayuga County, Income: 54664, Total Pop: 78319
Entry(838): Poverty: 11.6, State: Maine, County: Knox County, Income: 53117, Total Pop: 39700
Entry(839): Poverty: 11.6, State: Kansas, County: Dickinson County, Income: 49663, Total Pop: 19162
Entry(840): Poverty: 11.6, State: Iowa, County: Howard County, Income: 51422, Total Pop: 9321
Entry(841): Poverty: 11.6, State: Indiana, County: Putnam County, Income: 55295, Total Pop: 37543
Entry(842): Poverty: 11.6, State: Oklahoma, County: Noble County, Income: 52372, Total Pop: 11421
Entry(843): Poverty: 11.6, State: Colorado, County: Archuleta County, Income: 48016, Total Pop: 12592
Entry(844): Poverty: 11.6, State: Washington, County: Thurston County, Income: 66113, Total Pop: 269885
Entry(845): Poverty: 11.6, State: Ohio, County: Darke County, Income: 50064, Total Pop: 51919
Entry(846): Poverty: 11.6, State: Minnesota, County: Kanabec County, Income: 50509, Total Pop: 15948
Entry(847): Poverty: 11.6, State: Maine, County: Hancock County, Income: 51438, Total Pop: 54468
Entry(848): Poverty: 11.6, State: Kansas, County: Norton County, Income: 50673, Total Pop: 5527
Entry(849): Poverty: 11.6, State: Indiana, County: Huntington County, Income: 50063, Total Pop: 36520
Entry(850): Poverty: 11.6, State: Michigan, County: Charlevoix County, Income: 51567, Total Pop: 26160
Entry(851): Poverty: 11.6, State: Texas, County: Ward County, Income: 63333, Total Pop: 11498
Entry(852): Poverty: 11.6, State: Utah, County: Millard County, Income: 59312, Total Pop: 12651
Entry(853): Poverty: 11.6, State: Utah, County: Uintah County, Income: 67012, Total Pop: 36343
Entry(854): Poverty: 11.7, State: Washington, County: Garfield County, Income: 51399, Total Pop: 2226
Entry(855): Poverty: 11.7, State: Oklahoma, County: Beaver County, Income: 52571, Total Pop: 5445
Entry(856): Poverty: 11.7, State: Minnesota, County: Big Stone County, Income: 48299, Total Pop: 5039
Entry(857): Poverty: 11.7, State: Virginia, County: Southampton County, Income: 53681, Total Pop: 18089
Entry(858): Poverty: 11.7, State: Nebraska, County: Garden County, Income: 48125, Total Pop: 1913
Entry(859): Poverty: 11.7, State: California, County: San Francisco County, Income: 96265, Total Pop: 864263
Entry(860): Poverty: 11.7, State: Alaska, County: Wrangell City and Borough, Income: 56094, Total Pop: 2475
Entry(861): Poverty: 11.7, State: Oklahoma, County: Woodward County, Income: 57602, Total Pop: 21140
Entry(862): Poverty: 11.7, State: North Dakota, County: McKenzie County, Income: 79316, Total Pop: 11679
Entry(863): Poverty: 11.7, State: New York, County: Wayne County, Income: 53693, Total Pop: 91442
Entry(864): Poverty: 11.7, State: Nebraska, County: Red Willow County, Income: 42882, Total Pop: 10870
Entry(865): Poverty: 11.7, State: Nebraska, County: Nance County, Income: 45428, Total Pop: 3569
Entry(866): Poverty: 11.7, State: Kansas, County: Republic County, Income: 43489, Total Pop: 4705
Entry(867): Poverty: 11.7, State: Iowa, County: Polk County, Income: 63530, Total Pop: 467235
Entry(868): Poverty: 11.7, State: Louisiana, County: Ascension Parish, Income: 74748, Total Pop: 119129
Entry(869): Poverty: 11.7, State: South Dakota, County: Codington County, Income: 52025, Total Pop: 27963
Entry(870): Poverty: 11.7, State: Virginia, County: Campbell County, Income: 48823, Total Pop: 55158
Entry(871): Poverty: 11.8, State: Texas, County: Crane County, Income: 63935, Total Pop: 4836
Entry(872): Poverty: 11.8, State: North Carolina, County: Henderson County, Income: 50454, Total Pop: 112156
Entry(873): Poverty: 11.8, State: Maine, County: Lincoln County, Income: 54041, Total Pop: 34021
Entry(874): Poverty: 11.8, State: Iowa, County: Tama County, Income: 56110, Total Pop: 17236
Entry(875): Poverty: 11.8, State: Iowa, County: Clay County, Income: 48978, Total Pop: 16387
Entry(876): Poverty: 11.8, State: Virginia, County: Louisa County, Income: 56946, Total Pop: 34813
Entry(877): Poverty: 11.8, State: South Carolina, County: Dorchester County, Income: 58685, Total Pop: 151716
Entry(878): Poverty: 11.8, State: Montana, County: Carter County, Income: 45347, Total Pop: 1320
Entry(879): Poverty: 11.8, State: Kansas, County: Sumner County, Income: 52695, Total Pop: 23336
Entry(880): Poverty: 11.8, State: Georgia, County: Dawson County, Income: 62284, Total Pop: 23397
Entry(881): Poverty: 11.8, State: Florida, County: Seminole County, Income: 60739, Total Pop: 449260
Entry(882): Poverty: 11.8, State: Colorado, County: Cheyenne County, Income: 54907, Total Pop: 2127
Entry(883): Poverty: 11.8, State: Vermont, County: Washington County, Income: 60602, Total Pop: 58691
Entry(884): Poverty: 11.8, State: Tennessee, County: Rutherford County, Income: 62149, Total Pop: 298456
Entry(885): Poverty: 11.8, State: Ohio, County: Licking County, Income: 59747, Total Pop: 170678
Entry(886): Poverty: 11.8, State: New York, County: Seneca County, Income: 51601, Total Pop: 34843
Entry(887): Poverty: 11.8, State: Minnesota, County: Redwood County, Income: 51871, Total Pop: 15430
Entry(888): Poverty: 11.8, State: Minnesota, County: Pipestone County, Income: 48909, Total Pop: 9229
Entry(889): Poverty: 11.8, State: Minnesota, County: Freeborn County, Income: 51174, Total Pop: 30619
Entry(890): Poverty: 11.8, State: Utah, County: Utah County, Income: 67042, Total Pop: 576496
Entry(891): Poverty: 11.8, State: Indiana, County: Morgan County, Income: 60317, Total Pop: 69533
Entry(892): Poverty: 11.8, State: Illinois, County: Lee County, Income: 58319, Total Pop: 34670
Entry(893): Poverty: 11.8, State: Idaho, County: Ada County, Income: 60151, Total Pop: 435117
Entry(894): Poverty: 11.8, State: Colorado, County: Rio Blanco County, Income: 57991, Total Pop: 6557
Entry(895): Poverty: 11.8, State: Alabama, County: Baldwin County, Income: 52562, Total Pop: 203360
Entry(896): Poverty: 11.8, State: Michigan, County: Macomb County, Income: 58175, Total Pop: 864019
Entry(897): Poverty: 11.8, State: Wisconsin, County: Marquette County, Income: 49052, Total Pop: 15164
Entry(898): Poverty: 11.9, State: Texas, County: Andrews County, Income: 70753, Total Pop: 17577
Entry(899): Poverty: 11.9, State: North Dakota, County: Emmons County, Income: 46581, Total Pop: 3389
Entry(900): Poverty: 11.9, State: Nebraska, County: Custer County, Income: 48836, Total Pop: 10836
Entry(901): Poverty: 11.9, State: Iowa, County: Dubuque County, Income: 59150, Total Pop: 96571
Entry(902): Poverty: 11.9, State: Wisconsin, County: Racine County, Income: 58334, Total Pop: 195101
Entry(903): Poverty: 11.9, State: Wisconsin, County: Price County, Income: 45680, Total Pop: 13566
Entry(904): Poverty: 11.9, State: South Carolina, County: Beaufort County, Income: 60603, Total Pop: 179316
Entry(905): Poverty: 11.9, State: Kansas, County: Cloud County, Income: 44199, Total Pop: 9191
Entry(906): Poverty: 11.9, State: Idaho, County: Fremont County, Income: 51806, Total Pop: 12889
Entry(907): Poverty: 11.9, State: Delaware, County: New Castle County, Income: 68336, Total Pop: 555036
Entry(908): Poverty: 11.9, State: Virginia, County: Caroline County, Income: 60925, Total Pop: 29889
Entry(909): Poverty: 11.9, State: Iowa, County: Cherokee County, Income: 53998, Total Pop: 11577
Entry(910): Poverty: 11.9, State: Illinois, County: Crawford County, Income: 47468, Total Pop: 19214
Entry(911): Poverty: 11.9, State: Idaho, County: Bonneville County, Income: 54150, Total Pop: 110404
Entry(912): Poverty: 11.9, State: Missouri, County: Moniteau County, Income: 50897, Total Pop: 15904
Entry(913): Poverty: 12.0, State: South Dakota, County: Perkins County, Income: 50450, Total Pop: 2964
Entry(914): Poverty: 12.0, State: Missouri, County: Gasconade County, Income: 50687, Total Pop: 14769
Entry(915): Poverty: 12.0, State: Colorado, County: Mineral County, Income: 50385, Total Pop: 834
Entry(916): Poverty: 12.0, State: Texas, County: Lampasas County, Income: 54467, Total Pop: 20473
Entry(917): Poverty: 12.0, State: Delaware, County: Sussex County, Income: 57901, Total Pop: 215551
Entry(918): Poverty: 12.0, State: Wyoming, County: Sweetwater County, Income: 71083, Total Pop: 44527
Entry(919): Poverty: 12.0, State: Texas, County: Hardin County, Income: 56131, Total Pop: 55993
Entry(920): Poverty: 12.0, State: Texas, County: Colorado County, Income: 50241, Total Pop: 20913
Entry(921): Poverty: 12.0, State: Ohio, County: Pickaway County, Income: 60314, Total Pop: 57075
Entry(922): Poverty: 12.0, State: Minnesota, County: Norman County, Income: 53034, Total Pop: 6589
Entry(923): Poverty: 12.0, State: Iowa, County: Jackson County, Income: 51806, Total Pop: 19409
Entry(924): Poverty: 12.0, State: Florida, County: Charlotte County, Income: 46511, Total Pop: 173236
Entry(925): Poverty: 12.0, State: Missouri, County: Holt County, Income: 43981, Total Pop: 4499
Entry(926): Poverty: 12.0, State: Colorado, County: Hinsdale County, Income: 53056, Total Pop: 820
Entry(927): Poverty: 12.0, State: Kentucky, County: Anderson County, Income: 51681, Total Pop: 22017
Entry(928): Poverty: 12.0, State: Mississippi, County: Madison County, Income: 68600, Total Pop: 102212
Entry(929): Poverty: 12.0, State: Ohio, County: Holmes County, Income: 58728, Total Pop: 43808
Entry(930): Poverty: 12.0, State: Virginia, County: Floyd County, Income: 48396, Total Pop: 15594
Entry(931): Poverty: 12.1, State: Ohio, County: Hancock County, Income: 52831, Total Pop: 75508
Entry(932): Poverty: 12.1, State: Minnesota, County: Aitkin County, Income: 45860, Total Pop: 15841
Entry(933): Poverty: 12.1, State: Illinois, County: Moultrie County, Income: 53979, Total Pop: 14711
Entry(934): Poverty: 12.1, State: California, County: Nevada County, Income: 60610, Total Pop: 98838
Entry(935): Poverty: 12.1, State: Georgia, County: Gwinnett County, Income: 64496, Total Pop: 889954
Entry(936): Poverty: 12.1, State: Minnesota, County: Carlton County, Income: 58874, Total Pop: 35408
Entry(937): Poverty: 12.1, State: Connecticut, County: New Haven County, Income: 64872, Total Pop: 862127
Entry(938): Poverty: 12.1, State: Oregon, County: Hood River County, Income: 57269, Total Pop: 22938
Entry(939): Poverty: 12.1, State: Oregon, County: Deschutes County, Income: 59152, Total Pop: 175321
Entry(940): Poverty: 12.1, State: Illinois, County: Shelby County, Income: 49807, Total Pop: 21906
Entry(941): Poverty: 12.1, State: California, County: Orange County, Income: 81851, Total Pop: 3155816
Entry(942): Poverty: 12.1, State: Illinois, County: Douglas County, Income: 52261, Total Pop: 19830
Entry(943): Poverty: 12.1, State: Missouri, County: Atchison County, Income: 45259, Total Pop: 5335
Entry(944): Poverty: 12.1, State: Nevada, County: Lincoln County, Income: 52971, Total Pop: 5203
Entry(945): Poverty: 12.1, State: North Dakota, County: Ramsey County, Income: 55927, Total Pop: 11574
Entry(946): Poverty: 12.1, State: Utah, County: Weber County, Income: 62036, Total Pop: 244101
Entry(947): Poverty: 12.2, State: Washington, County: Pierce County, Income: 63881, Total Pop: 845193
Entry(948): Poverty: 12.2, State: Minnesota, County: Swift County, Income: 49556, Total Pop: 9448
Entry(949): Poverty: 12.2, State: Massachusetts, County: Bristol County, Income: 62514, Total Pop: 557016
Entry(950): Poverty: 12.2, State: Colorado, County: Adams County, Income: 64087, Total Pop: 487850
Entry(951): Poverty: 12.2, State: Oklahoma, County: Love County, Income: 49409, Total Pop: 9843
Entry(952): Poverty: 12.2, State: New York, County: Orange County, Income: 75146, Total Pop: 378174
Entry(953): Poverty: 12.2, State: Montana, County: Sheridan County, Income: 51940, Total Pop: 3568
Entry(954): Poverty: 12.2, State: Wisconsin, County: Winnebago County, Income: 55128, Total Pop: 169540
Entry(955): Poverty: 12.2, State: Louisiana, County: St. Charles Parish, Income: 64707, Total Pop: 52728
Entry(956): Poverty: 12.2, State: Kansas, County: Meade County, Income: 54167, Total Pop: 4295
Entry(957): Poverty: 12.2, State: Iowa, County: Henry County, Income: 52275, Total Pop: 19865
Entry(958): Poverty: 12.2, State: Pennsylvania, County: Bradford County, Income: 50900, Total Pop: 61546
Entry(959): Poverty: 12.2, State: Oregon, County: Clatsop County, Income: 49828, Total Pop: 38021
Entry(960): Poverty: 12.2, State: Minnesota, County: Watonwan County, Income: 50044, Total Pop: 10936
Entry(961): Poverty: 12.2, State: Idaho, County: Franklin County, Income: 51583, Total Pop: 13120
Entry(962): Poverty: 12.2, State: Texas, County: Motley County, Income: 40598, Total Pop: 1114
Entry(963): Poverty: 12.3, State: Texas, County: Burnet County, Income: 57173, Total Pop: 45017
Entry(964): Poverty: 12.3, State: Nebraska, County: Burt County, Income: 50174, Total Pop: 6546
Entry(965): Poverty: 12.3, State: Vermont, County: Caledonia County, Income: 47371, Total Pop: 30576
Entry(966): Poverty: 12.3, State: Texas, County: Yoakum County, Income: 62500, Total Pop: 8481
Entry(967): Poverty: 12.3, State: Texas, County: Hood County, Income: 60275, Total Pop: 55418
Entry(968): Poverty: 12.3, State: Montana, County: Dawson County, Income: 59622, Total Pop: 9324
Entry(969): Poverty: 12.3, State: Illinois, County: Randolph County, Income: 49717, Total Pop: 32829
Entry(970): Poverty: 12.3, State: Arkansas, County: Lonoke County, Income: 57290, Total Pop: 71568
Entry(971): Poverty: 12.3, State: Virginia, County: Essex County, Income: 50629, Total Pop: 11083
Entry(972): Poverty: 12.3, State: Oregon, County: Columbia County, Income: 57449, Total Pop: 50207
Entry(973): Poverty: 12.3, State: Nebraska, County: Knox County, Income: 48072, Total Pop: 8496
Entry(974): Poverty: 12.3, State: Virginia, County: Prince George County, Income: 68461, Total Pop: 37704
Entry(975): Poverty: 12.3, State: South Carolina, County: York County, Income: 59394, Total Pop: 251664
Entry(976): Poverty: 12.3, State: Ohio, County: Greene County, Income: 65032, Total Pop: 164825
Entry(977): Poverty: 12.3, State: Missouri, County: Callaway County, Income: 53180, Total Pop: 44793
Entry(978): Poverty: 12.3, State: California, County: Sierra County, Income: 44190, Total Pop: 2885
Entry(979): Poverty: 12.3, State: Georgia, County: Pike County, Income: 52377, Total Pop: 17919
Entry(980): Poverty: 12.3, State: Iowa, County: Scott County, Income: 57681, Total Pop: 171493
Entry(981): Poverty: 12.3, State: Kansas, County: Graham County, Income: 43427, Total Pop: 2561
Entry(982): Poverty: 12.3, State: Texas, County: Ector County, Income: 59528, Total Pop: 155744
Entry(983): Poverty: 12.4, State: Wisconsin, County: Dane County, Income: 67631, Total Pop: 522837
Entry(984): Poverty: 12.4, State: New York, County: Schenectady County, Income: 61315, Total Pop: 155239
Entry(985): Poverty: 12.4, State: Nebraska, County: Thomas County, Income: 53173, Total Pop: 643
Entry(986): Poverty: 12.4, State: Nebraska, County: Adams County, Income: 51721, Total Pop: 31564
Entry(987): Poverty: 12.4, State: Kansas, County: Greenwood County, Income: 41648, Total Pop: 6227
Entry(988): Poverty: 12.4, State: Indiana, County: Bartholomew County, Income: 57331, Total Pop: 81024
Entry(989): Poverty: 12.4, State: Illinois, County: Jasper County, Income: 56523, Total Pop: 9608
Entry(990): Poverty: 12.4, State: Colorado, County: Larimer County, Income: 64980, Total Pop: 330976
Entry(991): Poverty: 12.4, State: Texas, County: Gillespie County, Income: 56267, Total Pop: 25939
Entry(992): Poverty: 12.4, State: New York, County: Albany County, Income: 62293, Total Pop: 308580
Entry(993): Poverty: 12.4, State: Minnesota, County: Polk County, Income: 55393, Total Pop: 31564
Entry(994): Poverty: 12.4, State: Kentucky, County: Shelby County, Income: 63171, Total Pop: 45831
Entry(995): Poverty: 12.4, State: North Dakota, County: Towner County, Income: 54625, Total Pop: 2258
Entry(996): Poverty: 12.4, State: New York, County: Greene County, Income: 53214, Total Pop: 47791
Entry(997): Poverty: 12.4, State: Wisconsin, County: Walworth County, Income: 58401, Total Pop: 102917
Entry(998): Poverty: 12.4, State: Texas, County: Kaufman County, Income: 63926, Total Pop: 114852
Entry(999): Poverty: 12.4, State: South Dakota, County: Lawrence County, Income: 49275, Total Pop: 25018
Entry(1000): Poverty: 12.4, State: Oklahoma, County: Grady County, Income: 55527, Total Pop: 54351
Entry(1001): Poverty: 12.4, State: North Carolina, County: Gates County, Income: 52481, Total Pop: 11601
Entry(1002): Poverty: 12.4, State: Nebraska, County: Sioux County, Income: 45375, Total Pop: 1256
Entry(1003): Poverty: 12.4, State: Maine, County: Franklin County, Income: 45541, Total Pop: 30177
Entry(1004): Poverty: 12.4, State: Ohio, County: Preble County, Income: 52661, Total Pop: 41328
Entry(1005): Poverty: 12.5, State: Missouri, County: DeKalb County, Income: 46517, Total Pop: 12564
Entry(1006): Poverty: 12.5, State: Georgia, County: Jackson County, Income: 57999, Total Pop: 63851
Entry(1007): Poverty: 12.5, State: Indiana, County: DeKalb County, Income: 51374, Total Pop: 42524
Entry(1008): Poverty: 12.5, State: Wyoming, County: Hot Springs County, Income: 48403, Total Pop: 4741
Entry(1009): Poverty: 12.5, State: Virginia, County: Winchester city, Income: 49330, Total Pop: 27516
Entry(1010): Poverty: 12.5, State: Texas, County: Llano County, Income: 50524, Total Pop: 20195
Entry(1011): Poverty: 12.5, State: Pennsylvania, County: Schuylkill County, Income: 47642, Total Pop: 144287
Entry(1012): Poverty: 12.5, State: Minnesota, County: Clay County, Income: 61409, Total Pop: 62040
Entry(1013): Poverty: 12.5, State: Kansas, County: Franklin County, Income: 53167, Total Pop: 25599
Entry(1014): Poverty: 12.5, State: Illinois, County: Henry County, Income: 55755, Total Pop: 49649
Entry(1015): Poverty: 12.5, State: Louisiana, County: West Feliciana Parish, Income: 55647, Total Pop: 15376
Entry(1016): Poverty: 12.5, State: Minnesota, County: Yellow Medicine County, Income: 54645, Total Pop: 9930
Entry(1017): Poverty: 12.5, State: North Carolina, County: Carteret County, Income: 51584, Total Pop: 68699
Entry(1018): Poverty: 12.5, State: Pennsylvania, County: Allegheny County, Income: 56333, Total Pop: 1229605
Entry(1019): Poverty: 12.6, State: Oklahoma, County: Cleveland County, Income: 60632, Total Pop: 274024
Entry(1020): Poverty: 12.6, State: New York, County: Rensselaer County, Income: 63166, Total Pop: 159800
Entry(1021): Poverty: 12.6, State: Nebraska, County: Lincoln County, Income: 55875, Total Pop: 35569
Entry(1022): Poverty: 12.6, State: Minnesota, County: Itasca County, Income: 52050, Total Pop: 45237
Entry(1023): Poverty: 12.6, State: Indiana, County: Fountain County, Income: 46669, Total Pop: 16620
Entry(1024): Poverty: 12.6, State: Florida, County: Wakulla County, Income: 57866, Total Pop: 31586
Entry(1025): Poverty: 12.6, State: Wisconsin, County: Monroe County, Income: 56479, Total Pop: 45303
Entry(1026): Poverty: 12.6, State: South Dakota, County: Davison County, Income: 48665, Total Pop: 19753
Entry(1027): Poverty: 12.6, State: Missouri, County: Cole County, Income: 54216, Total Pop: 76749
Entry(1028): Poverty: 12.6, State: Idaho, County: Kootenai County, Income: 53189, Total Pop: 150128
Entry(1029): Poverty: 12.6, State: Arkansas, County: Baxter County, Income: 40072, Total Pop: 41093
Entry(1030): Poverty: 12.6, State: Texas, County: Mason County, Income: 40949, Total Pop: 4122
Entry(1031): Poverty: 12.6, State: Kansas, County: Saline County, Income: 49728, Total Pop: 55334
Entry(1032): Poverty: 12.6, State: Iowa, County: Wright County, Income: 48935, Total Pop: 12864
Entry(1033): Poverty: 12.6, State: Kansas, County: Chase County, Income: 42772, Total Pop: 2665
Entry(1034): Poverty: 12.6, State: Idaho, County: Oneida County, Income: 43491, Total Pop: 4284
Entry(1035): Poverty: 12.6, State: Illinois, County: Bureau County, Income: 54271, Total Pop: 33619
Entry(1036): Poverty: 12.6, State: Michigan, County: Antrim County, Income: 50988, Total Pop: 23133
Entry(1037): Poverty: 12.6, State: Oklahoma, County: Beckham County, Income: 49625, Total Pop: 22971
Entry(1038): Poverty: 12.7, State: Pennsylvania, County: Somerset County, Income: 46132, Total Pop: 75619
Entry(1039): Poverty: 12.7, State: Florida, County: Indian River County, Income: 49009, Total Pop: 147981
Entry(1040): Poverty: 12.7, State: West Virginia, County: Grant County, Income: 40093, Total Pop: 11673
Entry(1041): Poverty: 12.7, State: Utah, County: Duchesne County, Income: 63000, Total Pop: 20259
Entry(1042): Poverty: 12.7, State: Tennessee, County: Cheatham County, Income: 56150, Total Pop: 39713
Entry(1043): Poverty: 12.7, State: Ohio, County: Van Wert County, Income: 50974, Total Pop: 28262
Entry(1044): Poverty: 12.7, State: North Carolina, County: Iredell County, Income: 55957, Total Pop: 169798
Entry(1045): Poverty: 12.7, State: Hawaii, County: Kalawao County, Income: 61750, Total Pop: 86
Entry(1046): Poverty: 12.7, State: Florida, County: Monroe County, Income: 63030, Total Pop: 76745
Entry(1047): Poverty: 12.7, State: Utah, County: Grand County, Income: 46658, Total Pop: 9544
Entry(1048): Poverty: 12.7, State: Minnesota, County: Becker County, Income: 55884, Total Pop: 33552
Entry(1049): Poverty: 12.7, State: Georgia, County: Camden County, Income: 53687, Total Pop: 52252
Entry(1050): Poverty: 12.7, State: Illinois, County: Pope County, Income: 41139, Total Pop: 4360
Entry(1051): Poverty: 12.7, State: Texas, County: Medina County, Income: 59305, Total Pop: 48548
Entry(1052): Poverty: 12.8, State: Wisconsin, County: Dunn County, Income: 54605, Total Pop: 44260
Entry(1053): Poverty: 12.8, State: Washington, County: Jefferson County, Income: 51842, Total Pop: 30524
Entry(1054): Poverty: 12.8, State: Utah, County: Juab County, Income: 57590, Total Pop: 10694
Entry(1055): Poverty: 12.8, State: South Carolina, County: Berkeley County, Income: 56697, Total Pop: 204632
Entry(1056): Poverty: 12.8, State: North Dakota, County: Grant County, Income: 50875, Total Pop: 2387
Entry(1057): Poverty: 12.8, State: Maryland, County: Washington County, Income: 58260, Total Pop: 149546
Entry(1058): Poverty: 12.8, State: Georgia, County: Walton County, Income: 55876, Total Pop: 88695
Entry(1059): Poverty: 12.8, State: Florida, County: Lake County, Income: 49734, Total Pop: 326215
Entry(1060): Poverty: 12.8, State: Colorado, County: Jackson County, Income: 45994, Total Pop: 1372
Entry(1061): Poverty: 12.8, State: Vermont, County: Bennington County, Income: 52251, Total Pop: 36054
Entry(1062): Poverty: 12.8, State: South Carolina, County: Lexington County, Income: 57482, Total Pop: 281870
Entry(1063): Poverty: 12.8, State: Missouri, County: Pulaski County, Income: 51137, Total Pop: 53132
Entry(1064): Poverty: 12.8, State: Kansas, County: Osage County, Income: 54186, Total Pop: 15894
Entry(1065): Poverty: 12.8, State: Colorado, County: Lake County, Income: 46176, Total Pop: 7481
Entry(1066): Poverty: 12.8, State: Washington, County: Chelan County, Income: 54975, Total Pop: 75138
Entry(1067): Poverty: 12.8, State: Pennsylvania, County: Carbon County, Income: 51236, Total Pop: 63987
Entry(1068): Poverty: 12.8, State: New York, County: Genesee County, Income: 54033, Total Pop: 58537
Entry(1069): Poverty: 12.8, State: Missouri, County: Warren County, Income: 56193, Total Pop: 33554
Entry(1070): Poverty: 12.8, State: Missouri, County: Stone County, Income: 43292, Total Pop: 31529
Entry(1071): Poverty: 12.8, State: Missouri, County: Lafayette County, Income: 52557, Total Pop: 32655
Entry(1072): Poverty: 12.8, State: Iowa, County: Fayette County, Income: 48412, Total Pop: 20139
Entry(1073): Poverty: 12.8, State: Indiana, County: Blackford County, Income: 40622, Total Pop: 12214
Entry(1074): Poverty: 12.8, State: Illinois, County: Calhoun County, Income: 53641, Total Pop: 4897
Entry(1075): Poverty: 12.8, State: California, County: Calaveras County, Income: 54800, Total Pop: 45057
Entry(1076): Poverty: 12.8, State: Florida, County: Collier County, Income: 62407, Total Pop: 356774
Entry(1077): Poverty: 12.8, State: Georgia, County: Union County, Income: 42767, Total Pop: 22262
Entry(1078): Poverty: 12.8, State: Illinois, County: Christian County, Income: 50668, Total Pop: 33562
Entry(1079): Poverty: 12.8, State: New York, County: Washington County, Income: 52527, Total Pop: 62183
Entry(1080): Poverty: 12.8, State: Texas, County: Scurry County, Income: 54565, Total Pop: 17346
Entry(1081): Poverty: 12.8, State: Wyoming, County: Washakie County, Income: 51362, Total Pop: 8253
Entry(1082): Poverty: 12.9, State: Utah, County: Emery County, Income: 51852, Total Pop: 10410
Entry(1083): Poverty: 12.9, State: Indiana, County: Greene County, Income: 49648, Total Pop: 32431
Entry(1084): Poverty: 12.9, State: Texas, County: Tom Green County, Income: 49662, Total Pop: 116906
Entry(1085): Poverty: 12.9, State: Texas, County: Chambers County, Income: 74368, Total Pop: 39283
Entry(1086): Poverty: 12.9, State: Ohio, County: Noble County, Income: 42171, Total Pop: 14498
Entry(1087): Poverty: 12.9, State: Utah, County: Piute County, Income: 41750, Total Pop: 1860
Entry(1088): Poverty: 12.9, State: South Dakota, County: Harding County, Income: 55972, Total Pop: 1281
Entry(1089): Poverty: 12.9, State: Indiana, County: Harrison County, Income: 53897, Total Pop: 39450
Entry(1090): Poverty: 12.9, State: Oklahoma, County: Woods County, Income: 57097, Total Pop: 9132
Entry(1091): Poverty: 12.9, State: Ohio, County: Butler County, Income: 62188, Total Pop: 375702
Entry(1092): Poverty: 12.9, State: Kentucky, County: Kenton County, Income: 58674, Total Pop: 163987
Entry(1093): Poverty: 12.9, State: Florida, County: Calhoun County, Income: 36237, Total Pop: 14458
Entry(1094): Poverty: 12.9, State: Missouri, County: Newton County, Income: 46723, Total Pop: 58237
Entry(1095): Poverty: 12.9, State: Nebraska, County: Harlan County, Income: 46750, Total Pop: 3469
Entry(1096): Poverty: 12.9, State: New York, County: Richmond County, Income: 76244, Total Pop: 475948
Entry(1097): Poverty: 13.0, State: South Dakota, County: Hutchinson County, Income: 49583, Total Pop: 7277
Entry(1098): Poverty: 13.0, State: Ohio, County: Erie County, Income: 51033, Total Pop: 75369
