Entry(0): Income 11680, State: Puerto Rico, County: Adjuntas Municipio, Total Pop: 18525, Poverty: 64.1
Entry(742): Income 39931, State: Oklahoma, County: Coal County, Total Pop: 5666, Poverty: 20.3
Entry(743): Income 39945, State: Arkansas, County: Independence County, Total Pop: 37097, Poverty: 18.5
Entry(744): Income 39947, State: Michigan, County: Arenac County, Total Pop: 15238, Poverty: 18.5
Entry(745): Income 39990, State: Tennessee, County: McMinn County, Total Pop: 52569, Poverty: 19.7
Entry(746): Income 40002, State: North Carolina, County: Cleveland County, Total Pop: 97038, Poverty: 19.9
Entry(747): Income 40005, State: Kentucky, County: Marion County, Total Pop: 19335, Poverty: 18.4
Entry(748): Income 40037, State: Kentucky, County: Muhlenberg County, Total Pop: 31153, Poverty: 20.5
Entry(749): Income 40041, State: Alabama, County: Cherokee County, Total Pop: 25855, Poverty: 16.1
Entry(750): Income 40067, State: Indiana, County: Crawford County, Total Pop: 10598, Poverty: 17.8
Entry(751): Income 40072, State: Arkansas, County: Baxter County, Total Pop: 41093, Poverty: 12.6
Entry(752): Income 40076, State: Mississippi, County: Union County, Total Pop: 28202, Poverty: 18.2
Entry(753): Income 40076, State: Missouri, County: Stoddard County, Total Pop: 29634, Poverty: 16.8
Entry(754): Income 40081, State: Louisiana, County: Ouachita Parish, Total Pop: 156433, Poverty: 24.5
Entry(755): Income 40083, State: Virginia, County: Russell County, Total Pop: 27725, Poverty: 17.6
Entry(756): Income 40088, State: Tennessee, County: Grainger County, Total Pop: 22942, Poverty: 18.7
Entry(757): Income 40093, State: West Virginia, County: Grant County, Total Pop: 11673, Poverty: 12.7
Entry(758): Income 40094, State: West Virginia, County: Randolph County, Total Pop: 29152, Poverty: 18.3
Entry(759): Income 40117, State: Montana, County: Mineral County, Total Pop: 4194, Poverty: 20.1
Entry(760): Income 40132, State: Tennessee, County: Union County, Total Pop: 19176, Poverty: 21.6
Entry(761): Income 40180, State: Texas, County: Newton County, Total Pop: 14187, Poverty: 15.7
Entry(762): Income 40227, State: Texas, County: Morris County, Total Pop: 12530, Poverty: 15.7
Entry(763): Income 40265, State: Missouri, County: Reynolds County, Total Pop: 6361, Poverty: 17.3
Entry(764): Income 40276, State: Ohio, County: Morgan County, Total Pop: 14773, Poverty: 21.5
Entry(765): Income 40293, State: North Carolina, County: Ashe County, Total Pop: 26833, Poverty: 19.4
Entry(766): Income 40299, State: Idaho, County: Idaho County, Total Pop: 16275, Poverty: 13.5
Entry(767): Income 40301, State: Texas, County: San Saba County, Total Pop: 5851, Poverty: 17.4
Entry(768): Income 40308, State: Georgia, County: Montgomery County, Total Pop: 8962, Poverty: 19.5
Entry(769): Income 40309, State: Virginia, County: Tazewell County, Total Pop: 42689, Poverty: 15.6
Entry(770): Income 40313, State: Idaho, County: Lewis County, Total Pop: 3824, Poverty: 15.3
Entry(771): Income 40328, State: Maine, County: Washington County, Total Pop: 31822, Poverty: 18.2
Entry(772): Income 40352, State: Colorado, County: Dolores County, Total Pop: 1736, Poverty: 14.1
Entry(773): Income 40356, State: Texas, County: Limestone County, Total Pop: 23480, Poverty: 20.7
Entry(774): Income 40369, State: Kentucky, County: Graves County, Total Pop: 37259, Poverty: 19.2
Entry(775): Income 40369, State: Georgia, County: Worth County, Total Pop: 20809, Poverty: 21.5
Entry(776): Income 40377, State: Iowa, County: Appanoose County, Total Pop: 12547, Poverty: 17.1
Entry(777): Income 40391, State: Louisiana, County: Caddo Parish, Total Pop: 251069, Poverty: 23.4
Entry(778): Income 40402, State: Pennsylvania, County: Cameron County, Total Pop: 4754, Poverty: 14.4
Entry(779): Income 40415, State: Tennessee, County: Henry County, Total Pop: 32263, Poverty: 19.7
Entry(780): Income 40432, State: Mississippi, County: Lawrence County, Total Pop: 12659, Poverty: 19.8
Entry(781): Income 40432, State: Texas, County: Childress County, Total Pop: 7064, Poverty: 19.6
Entry(782): Income 40442, State: Texas, County: Webb County, Total Pop: 269624, Poverty: 31.5
Entry(783): Income 40446, State: California, County: Lake County, Total Pop: 64095, Poverty: 22.8
Entry(784): Income 40450, State: Tennessee, County: Bledsoe County, Total Pop: 14413, Poverty: 20.7
Entry(785): Income 40458, State: Kentucky, County: Bracken County, Total Pop: 8330, Poverty: 21.4
Entry(786): Income 40465, State: Oklahoma, County: Craig County, Total Pop: 14563, Poverty: 17.9
Entry(787): Income 40469, State: Georgia, County: McDuffie County, Total Pop: 21488, Poverty: 26.0
Entry(788): Income 40470, State: New Mexico, County: Grant County, Total Pop: 28382, Poverty: 22.0
Entry(789): Income 40480, State: Montana, County: Silver Bow County, Total Pop: 34514, Poverty: 19.2
Entry(790): Income 40483, State: West Virginia, County: Greenbrier County, Total Pop: 35523, Poverty: 17.8
Entry(791): Income 40492, State: Louisiana, County: Acadia Parish, Total Pop: 62607, Poverty: 21.5
Entry(792): Income 40532, State: North Carolina, County: Hyde County, Total Pop: 5507, Poverty: 20.3
Entry(793): Income 40539, State: Oklahoma, County: Latimer County, Total Pop: 10621, Poverty: 18.9
Entry(794): Income 40544, State: Virginia, County: Smyth County, Total Pop: 31298, Poverty: 17.4
Entry(795): Income 40563, State: North Carolina, County: Madison County, Total Pop: 21347, Poverty: 17.8
Entry(796): Income 40574, State: Florida, County: Citrus County, Total Pop: 141373, Poverty: 17.4
Entry(797): Income 40577, State: Louisiana, County: Grant Parish, Total Pop: 22305, Poverty: 20.2
Entry(798): Income 40580, State: South Carolina, County: Laurens County, Total Pop: 66508, Poverty: 20.7
Entry(799): Income 40586, State: Colorado, County: Las Animas County, Total Pop: 14151, Poverty: 17.0
Entry(800): Income 40598, State: Kentucky, County: Allen County, Total Pop: 20628, Poverty: 20.0
Entry(801): Income 40598, State: Texas, County: Motley County, Total Pop: 1114, Poverty: 12.2
Entry(802): Income 40600, State: Florida, County: Suwannee County, Total Pop: 43814, Poverty: 20.4
Entry(803): Income 40605, State: Mississippi, County: Benton County, Total Pop: 8306, Poverty: 20.2
Entry(804): Income 40622, State: South Carolina, County: McCormick County, Total Pop: 9694, Poverty: 20.1
Entry(805): Income 40622, State: Indiana, County: Blackford County, Total Pop: 12214, Poverty: 12.8
Entry(806): Income 40626, State: Arkansas, County: Hot Spring County, Total Pop: 33480, Poverty: 15.8
Entry(807): Income 40638, State: Missouri, County: Barry County, Total Pop: 35398, Poverty: 20.5
Entry(808): Income 40649, State: Pennsylvania, County: Philadelphia County, Total Pop: 1569657, Poverty: 25.8
Entry(809): Income 40652, State: Georgia, County: Polk County, Total Pop: 41444, Poverty: 19.0
Entry(810): Income 40659, State: North Carolina, County: Macon County, Total Pop: 34160, Poverty: 17.7
Entry(811): Income 40668, State: Arkansas, County: Pope County, Total Pop: 63372, Poverty: 19.8
Entry(812): Income 40678, State: Texas, County: Hansford County, Total Pop: 5532, Poverty: 18.7
Entry(813): Income 40688, State: Georgia, County: Bleckley County, Total Pop: 12779, Poverty: 23.0
Entry(814): Income 40690, State: Tennessee, County: DeKalb County, Total Pop: 19380, Poverty: 18.9
Entry(815): Income 40694, State: West Virginia, County: Wetzel County, Total Pop: 15793, Poverty: 23.2
Entry(816): Income 40695, State: Louisiana, County: Sabine Parish, Total Pop: 24145, Poverty: 19.6
Entry(817): Income 40705, State: Oregon, County: Josephine County, Total Pop: 84514, Poverty: 18.6
Entry(818): Income 40707, State: Tennessee, County: Morgan County, Total Pop: 21639, Poverty: 22.9
Entry(819): Income 40712, State: Virginia, County: Hopewell city, Total Pop: 22353, Poverty: 21.2
Entry(820): Income 40722, State: Illinois, County: Saline County, Total Pop: 24430, Poverty: 20.6
Entry(821): Income 40727, State: Arkansas, County: Boone County, Total Pop: 37212, Poverty: 15.8
Entry(822): Income 40728, State: Oklahoma, County: Tillman County, Total Pop: 7591, Poverty: 22.1
Entry(823): Income 40735, State: North Carolina, County: Caldwell County, Total Pop: 81805, Poverty: 16.4
Entry(824): Income 40744, State: Louisiana, County: Jefferson Davis Parish, Total Pop: 31405, Poverty: 19.6
Entry(825): Income 40749, State: West Virginia, County: Mineral County, Total Pop: 27421, Poverty: 14.8
Entry(826): Income 40781, State: Texas, County: Uvalde County, Total Pop: 27015, Poverty: 17.9
Entry(827): Income 40791, State: Missouri, County: Bollinger County, Total Pop: 12347, Poverty: 19.9
Entry(828): Income 40795, State: North Dakota, County: Sioux County, Total Pop: 4420, Poverty: 37.1
Entry(829): Income 40804, State: Texas, County: Coleman County, Total Pop: 8422, Poverty: 20.3
Entry(830): Income 40848, State: Oregon, County: Coos County, Total Pop: 62921, Poverty: 17.9
Entry(831): Income 40854, State: North Carolina, County: Burke County, Total Pop: 88898, Poverty: 19.3
Entry(832): Income 40871, State: Virginia, County: Brunswick County, Total Pop: 16435, Poverty: 20.9
Entry(833): Income 40871, State: Michigan, County: Gladwin County, Total Pop: 25324, Poverty: 20.2
Entry(834): Income 40884, State: California, County: Siskiyou County, Total Pop: 43530, Poverty: 20.7
Entry(835): Income 40902, State: West Virginia, County: Tyler County, Total Pop: 8949, Poverty: 16.4
Entry(836): Income 40932, State: Arkansas, County: Sebastian County, Total Pop: 127362, Poverty: 22.5
Entry(837): Income 40945, State: Texas, County: Callahan County, Total Pop: 13660, Poverty: 15.6
Entry(838): Income 40949, State: Texas, County: Mason County, Total Pop: 4122, Poverty: 12.6
Entry(839): Income 40954, State: Michigan, County: Alpena County, Total Pop: 28730, Poverty: 15.0
Entry(840): Income 40982, State: Kentucky, County: Logan County, Total Pop: 26847, Poverty: 17.4
Entry(841): Income 40986, State: Kansas, County: Anderson County, Total Pop: 7840, Poverty: 13.6
Entry(842): Income 40994, State: Tennessee, County: Cumberland County, Total Pop: 58178, Poverty: 16.0
Entry(843): Income 40997, State: Alabama, County: Cullman County, Total Pop: 81703, Poverty: 16.4
Entry(844): Income 40998, State: Tennessee, County: Humphreys County, Total Pop: 18281, Poverty: 18.4
Entry(845): Income 41011, State: Mississippi, County: Hinds County, Total Pop: 243249, Poverty: 23.9
Entry(846): Income 41032, State: Georgia, County: Crawford County, Total Pop: 12385, Poverty: 18.1
Entry(847): Income 41042, State: Iowa, County: Decatur County, Total Pop: 8105, Poverty: 19.1
Entry(848): Income 41081, State: Arkansas, County: Cross County, Total Pop: 17164, Poverty: 18.0
Entry(849): Income 41081, State: Washington, County: Ferry County, Total Pop: 7568, Poverty: 21.2
Entry(850): Income 41089, State: Missouri, County: Henry County, Total Pop: 21834, Poverty: 21.2
Entry(851): Income 41092, State: Missouri, County: Grundy County, Total Pop: 10111, Poverty: 20.5
Entry(852): Income 41095, State: Kentucky, County: Fleming County, Total Pop: 14515, Poverty: 19.5
Entry(853): Income 41095, State: Texas, County: Kimble County, Total Pop: 4432, Poverty: 22.1
Entry(854): Income 41099, State: Michigan, County: Osceola County, Total Pop: 23221, Poverty: 20.7
Entry(855): Income 41101, State: Kansas, County: Cherokee County, Total Pop: 20501, Poverty: 13.7
Entry(856): Income 41101, State: North Carolina, County: Beaufort County, Total Pop: 47316, Poverty: 19.1
Entry(857): Income 41103, State: Texas, County: Jim Wells County, Total Pop: 41318, Poverty: 23.0
Entry(858): Income 41104, State: Alabama, County: Marshall County, Total Pop: 94738, Poverty: 21.0
Entry(859): Income 41106, State: Arkansas, County: Union County, Total Pop: 40022, Poverty: 20.1
Entry(860): Income 41114, State: Kentucky, County: Edmonson County, Total Pop: 12063, Poverty: 20.0
Entry(861): Income 41114, State: Kentucky, County: Crittenden County, Total Pop: 9154, Poverty: 17.7
Entry(862): Income 41118, State: Michigan, County: Keweenaw County, Total Pop: 2136, Poverty: 14.5
Entry(863): Income 41122, State: Idaho, County: Clearwater County, Total Pop: 8533, Poverty: 13.9
Entry(864): Income 41126, State: North Carolina, County: Yadkin County, Total Pop: 37825, Poverty: 17.3
Entry(865): Income 41126, State: Virginia, County: Mecklenburg County, Total Pop: 30959, Poverty: 16.9
Entry(866): Income 41134, State: Mississippi, County: Marshall County, Total Pop: 35981, Poverty: 17.8
Entry(867): Income 41139, State: Illinois, County: Pope County, Total Pop: 4360, Poverty: 12.7
Entry(868): Income 41145, State: Virginia, County: Carroll County, Total Pop: 29767, Poverty: 14.6
Entry(869): Income 41157, State: Georgia, County: Lamar County, Total Pop: 18282, Poverty: 20.8
Entry(870): Income 41179, State: Arizona, County: Gila County, Total Pop: 53145, Poverty: 21.9
Entry(871): Income 41182, State: Georgia, County: Towns County, Total Pop: 11173, Poverty: 14.7
Entry(872): Income 41184, State: Missouri, County: Barton County, Total Pop: 11942, Poverty: 20.9
Entry(873): Income 41190, State: South Dakota, County: Dewey County, Total Pop: 5709, Poverty: 31.4
Entry(874): Income 41197, State: Oklahoma, County: Bryan County, Total Pop: 45068, Poverty: 17.5
Entry(875): Income 41207, State: Missouri, County: McDonald County, Total Pop: 22753, Poverty: 19.0
Entry(876): Income 41208, State: Indiana, County: Delaware County, Total Pop: 115938, Poverty: 21.2
Entry(877): Income 41209, State: Nebraska, County: Sheridan County, Total Pop: 5241, Poverty: 15.8
Entry(878): Income 41216, State: Georgia, County: Hart County, Total Pop: 25535, Poverty: 18.8
Entry(879): Income 41221, State: Michigan, County: Luce County, Total Pop: 6406, Poverty: 19.4
Entry(880): Income 41226, State: Texas, County: Runnels County, Total Pop: 10266, Poverty: 16.3
Entry(881): Income 41230, State: Kansas, County: Decatur County, Total Pop: 2891, Poverty: 17.5
Entry(882): Income 41235, State: Montana, County: Deer Lodge County, Total Pop: 9131, Poverty: 18.8
Entry(883): Income 41244, State: Arkansas, County: Prairie County, Total Pop: 8309, Poverty: 16.8
Entry(884): Income 41250, State: Nebraska, County: Arthur County, Total Pop: 421, Poverty: 10.9
Entry(885): Income 41266, State: West Virginia, County: Braxton County, Total Pop: 14345, Poverty: 22.1
Entry(886): Income 41267, State: Georgia, County: Schley County, Total Pop: 5168, Poverty: 22.2
Entry(887): Income 41267, State: Florida, County: Franklin County, Total Pop: 11675, Poverty: 20.1
Entry(888): Income 41282, State: Oklahoma, County: Nowata County, Total Pop: 10448, Poverty: 18.1
Entry(889): Income 41287, State: California, County: Del Norte County, Total Pop: 27442, Poverty: 23.2
Entry(890): Income 41315, State: Tennessee, County: Gibson County, Total Pop: 49222, Poverty: 17.1
Entry(891): Income 41329, State: Oklahoma, County: Muskogee County, Total Pop: 69471, Poverty: 21.9
Entry(892): Income 41330, State: Colorado, County: Custer County, Total Pop: 4505, Poverty: 15.7
Entry(893): Income 41336, State: Georgia, County: Thomas County, Total Pop: 44909, Poverty: 19.5
Entry(894): Income 41340, State: Mississippi, County: Lauderdale County, Total Pop: 78221, Poverty: 21.5
Entry(895): Income 41343, State: Montana, County: Meagher County, Total Pop: 2000, Poverty: 15.8
Entry(896): Income 41345, State: Louisiana, County: St. Mary Parish, Total Pop: 52578, Poverty: 19.5
Entry(897): Income 41370, State: Missouri, County: Nodaway County, Total Pop: 22744, Poverty: 22.6
Entry(898): Income 41379, State: Michigan, County: Houghton County, Total Pop: 36333, Poverty: 21.4
Entry(899): Income 41387, State: Illinois, County: Pike County, Total Pop: 15930, Poverty: 14.9
Entry(900): Income 41406, State: Pennsylvania, County: Potter County, Total Pop: 17070, Poverty: 14.4
Entry(901): Income 41414, State: Michigan, County: Iosco County, Total Pop: 25317, Poverty: 16.9
Entry(902): Income 41432, State: Texas, County: Cass County, Total Pop: 30118, Poverty: 18.5
Entry(903): Income 41441, State: Missouri, County: Dallas County, Total Pop: 16441, Poverty: 15.7
Entry(904): Income 41443, State: Louisiana, County: De Soto Parish, Total Pop: 27164, Poverty: 26.3
Entry(905): Income 41456, State: Texas, County: Walker County, Total Pop: 70818, Poverty: 24.3
Entry(906): Income 41461, State: Missouri, County: Miller County, Total Pop: 24947, Poverty: 16.5
Entry(907): Income 41468, State: Virginia, County: Northampton County, Total Pop: 11998, Poverty: 20.3
Entry(908): Income 41470, State: Kentucky, County: Ohio County, Total Pop: 24062, Poverty: 21.3
Entry(909): Income 41476, State: Indiana, County: Fayette County, Total Pop: 23426, Poverty: 18.2
Entry(910): Income 41479, State: Missouri, County: Vernon County, Total Pop: 20665, Poverty: 15.2
Entry(911): Income 41482, State: Texas, County: Nacogdoches County, Total Pop: 65411, Poverty: 24.9
Entry(912): Income 41483, State: Virginia, County: Roanoke city, Total Pop: 99572, Poverty: 21.6
Entry(913): Income 41497, State: West Virginia, County: Ritchie County, Total Pop: 10005, Poverty: 18.5
Entry(914): Income 41505, State: Wisconsin, County: Ashland County, Total Pop: 15779, Poverty: 14.6
Entry(915): Income 41510, State: Louisiana, County: Red River Parish, Total Pop: 8723, Poverty: 20.4
Entry(916): Income 41512, State: Florida, County: Lafayette County, Total Pop: 8684, Poverty: 17.8
Entry(917): Income 41522, State: Tennessee, County: Lawrence County, Total Pop: 42591, Poverty: 18.3
Entry(918): Income 41534, State: Georgia, County: Wayne County, Total Pop: 29833, Poverty: 21.3
Entry(919): Income 41541, State: Ohio, County: Vinton County, Total Pop: 13142, Poverty: 21.1
Entry(920): Income 41541, State: North Carolina, County: Watauga County, Total Pop: 53421, Poverty: 28.3
Entry(921): Income 41549, State: Maine, County: Somerset County, Total Pop: 50994, Poverty: 17.8
Entry(922): Income 41567, State: Missouri, County: Saline County, Total Pop: 23010, Poverty: 17.3
Entry(923): Income 41567, State: Arizona, County: Mohave County, Total Pop: 204691, Poverty: 18.6
Entry(924): Income 41574, State: Washington, County: Whitman County, Total Pop: 47794, Poverty: 27.5
Entry(925): Income 41582, State: Nebraska, County: Hitchcock County, Total Pop: 2860, Poverty: 14.2
Entry(926): Income 41598, State: Iowa, County: Monona County, Total Pop: 8865, Poverty: 14.9
Entry(927): Income 41607, State: Nebraska, County: Hooker County, Total Pop: 684, Poverty: 17.4
Entry(928): Income 41617, State: Georgia, County: Murray County, Total Pop: 39444, Poverty: 18.0
Entry(929): Income 41626, State: Oklahoma, County: Caddo County, Total Pop: 29437, Poverty: 20.8
Entry(930): Income 41628, State: Missouri, County: Scott County, Total Pop: 38858, Poverty: 20.1
Entry(931): Income 41632, State: Pennsylvania, County: Fayette County, Total Pop: 133160, Poverty: 18.8
Entry(932): Income 41635, State: Mississippi, County: Warren County, Total Pop: 47510, Poverty: 23.7
Entry(933): Income 41648, State: Kansas, County: Greenwood County, Total Pop: 6227, Poverty: 12.4
Entry(934): Income 41652, State: Missouri, County: Linn County, Total Pop: 12248, Poverty: 16.5
Entry(935): Income 41672, State: Arkansas, County: Garland County, Total Pop: 97994, Poverty: 19.1
Entry(936): Income 41673, State: Missouri, County: Lawrence County, Total Pop: 38131, Poverty: 17.1
Entry(937): Income 41674, State: South Dakota, County: McPherson County, Total Pop: 2366, Poverty: 17.0
Entry(938): Income 41681, State: Missouri, County: Phelps County, Total Pop: 44873, Poverty: 20.4
Entry(939): Income 41700, State: Texas, County: Kleberg County, Total Pop: 31540, Poverty: 23.7
Entry(940): Income 41700, State: North Carolina, County: Rockingham County, Total Pop: 91566, Poverty: 18.5
Entry(941): Income 41715, State: Missouri, County: Maries County, Total Pop: 8959, Poverty: 18.9
Entry(942): Income 41720, State: Kentucky, County: Larue County, Total Pop: 14102, Poverty: 15.8
Entry(943): Income 41726, State: Ohio, County: Crawford County, Total Pop: 42231, Poverty: 16.2
Entry(944): Income 41731, State: West Virginia, County: Jackson County, Total Pop: 29123, Poverty: 14.7
Entry(945): Income 41740, State: Colorado, County: Prowers County, Total Pop: 12084, Poverty: 18.3
Entry(946): Income 41750, State: Utah, County: Piute County, Total Pop: 1860, Poverty: 12.9
Entry(947): Income 41766, State: North Carolina, County: Wayne County, Total Pop: 124496, Poverty: 21.2
Entry(948): Income 41768, State: Texas, County: Milam County, Total Pop: 24479, Poverty: 16.0
Entry(949): Income 41773, State: South Dakota, County: Clay County, Total Pop: 13907, Poverty: 24.7
Entry(950): Income 41776, State: Tennessee, County: Trousdale County, Total Pop: 8773, Poverty: 13.3
Entry(951): Income 41777, State: Oregon, County: Crook County, Total Pop: 21717, Poverty: 15.3
Entry(952): Income 41811, State: Texas, County: Camp County, Total Pop: 12670, Poverty: 17.4
Entry(953): Income 41813, State: Indiana, County: Wayne County, Total Pop: 66972, Poverty: 18.2
Entry(954): Income 41820, State: Tennessee, County: Houston County, Total Pop: 8188, Poverty: 17.1
Entry(955): Income 41849, State: Kentucky, County: Christian County, Total Pop: 72438, Poverty: 19.7
Entry(956): Income 41852, State: Texas, County: Potter County, Total Pop: 121230, Poverty: 21.7
Entry(957): Income 41862, State: Arkansas, County: Miller County, Total Pop: 43760, Poverty: 21.0
Entry(958): Income 41865, State: Mississippi, County: Pontotoc County, Total Pop: 31075, Poverty: 17.0
Entry(959): Income 41885, State: South Carolina, County: Saluda County, Total Pop: 20228, Poverty: 20.5
Entry(960): Income 41907, State: Illinois, County: Coles County, Total Pop: 52540, Poverty: 21.0
Entry(961): Income 41930, State: Wisconsin, County: Rusk County, Total Pop: 14211, Poverty: 15.2
Entry(962): Income 41941, State: New Mexico, County: Curry County, Total Pop: 50283, Poverty: 22.5
Entry(963): Income 41946, State: South Carolina, County: Sumter County, Total Pop: 107379, Poverty: 21.1
Entry(964): Income 41960, State: Texas, County: Jasper County, Total Pop: 35444, Poverty: 16.8
Entry(965): Income 41964, State: Florida, County: Marion County, Total Pop: 343778, Poverty: 17.6
Entry(966): Income 41971, State: Virginia, County: Lynchburg city, Total Pop: 79237, Poverty: 22.3
Entry(967): Income 41972, State: Illinois, County: Knox County, Total Pop: 51374, Poverty: 18.1
Entry(968): Income 41979, State: North Carolina, County: Chowan County, Total Pop: 14370, Poverty: 22.8
Entry(969): Income 42002, State: Ohio, County: Gallia County, Total Pop: 30203, Poverty: 20.9
Entry(970): Income 42011, State: Missouri, County: Monroe County, Total Pop: 8676, Poverty: 13.0
Entry(971): Income 42019, State: Texas, County: Nolan County, Total Pop: 14990, Poverty: 16.8
Entry(972): Income 42030, State: Indiana, County: Vigo County, Total Pop: 107723, Poverty: 19.9
Entry(973): Income 42034, State: Missouri, County: Sullivan County, Total Pop: 6382, Poverty: 15.9
Entry(974): Income 42042, State: Tennessee, County: Hamblen County, Total Pop: 63465, Poverty: 19.8
Entry(975): Income 42046, State: Indiana, County: Grant County, Total Pop: 67615, Poverty: 19.1
Entry(976): Income 42047, State: New Mexico, County: Catron County, Total Pop: 3547, Poverty: 21.5
Entry(977): Income 42055, State: Nebraska, County: Nuckolls County, Total Pop: 4318, Poverty: 10.8
Entry(978): Income 42064, State: Alabama, County: Etowah County, Total Pop: 103132, Poverty: 17.9
Entry(979): Income 42067, State: Georgia, County: Jasper County, Total Pop: 13732, Poverty: 19.4
Entry(980): Income 42074, State: Oregon, County: Sherman County, Total Pop: 1635, Poverty: 13.7
Entry(981): Income 42095, State: North Carolina, County: Wilson County, Total Pop: 81379, Poverty: 20.6
Entry(982): Income 42101, State: Montana, County: Phillips County, Total Pop: 4139, Poverty: 18.0
Entry(983): Income 42105, State: Ohio, County: Meigs County, Total Pop: 23234, Poverty: 22.5
Entry(984): Income 42112, State: Virginia, County: Waynesboro city, Total Pop: 21620, Poverty: 17.4
Entry(985): Income 42121, State: Virginia, County: Greensville County, Total Pop: 11606, Poverty: 17.0
Entry(986): Income 42139, State: Kentucky, County: Union County, Total Pop: 14915, Poverty: 22.9
Entry(987): Income 42145, State: New Mexico, County: Lincoln County, Total Pop: 19497, Poverty: 15.4
Entry(988): Income 42148, State: Iowa, County: Webster County, Total Pop: 36945, Poverty: 16.2
Entry(989): Income 42153, State: Tennessee, County: Lincoln County, Total Pop: 33543, Poverty: 16.9
Entry(990): Income 42168, State: Illinois, County: Massac County, Total Pop: 14594, Poverty: 18.4
Entry(991): Income 42171, State: Ohio, County: Noble County, Total Pop: 14498, Poverty: 12.9
Entry(992): Income 42172, State: Kentucky, County: Montgomery County, Total Pop: 27550, Poverty: 23.0
Entry(993): Income 42173, State: Kansas, County: Osborne County, Total Pop: 3684, Poverty: 15.5
Entry(994): Income 42176, State: Louisiana, County: Allen Parish, Total Pop: 25667, Poverty: 16.6
Entry(995): Income 42176, State: Nebraska, County: Pawnee County, Total Pop: 2704, Poverty: 20.5
Entry(996): Income 42177, State: New Mexico, County: Chaves County, Total Pop: 65454, Poverty: 21.2
Entry(997): Income 42181, State: Alabama, County: Tallapoosa County, Total Pop: 40756, Poverty: 21.2
Entry(998): Income 42182, State: Georgia, County: Banks County, Total Pop: 18363, Poverty: 14.3
Entry(999): Income 42185, State: Alabama, County: Washington County, Total Pop: 16746, Poverty: 22.0
Entry(1000): Income 42198, State: Texas, County: Lamar County, Total Pop: 49401, Poverty: 17.8
Entry(1001): Income 42222, State: Kansas, County: Stanton County, Total Pop: 2107, Poverty: 10.8
Entry(1002): Income 42251, State: Tennessee, County: Sullivan County, Total Pop: 156519, Poverty: 16.6
Entry(1003): Income 42256, State: Michigan, County: Gratiot County, Total Pop: 41319, Poverty: 20.5
Entry(1004): Income 42260, State: Virginia, County: Accomack County, Total Pop: 32840, Poverty: 19.8
Entry(1005): Income 42307, State: Tennessee, County: Polk County, Total Pop: 16722, Poverty: 17.0
Entry(1006): Income 42312, State: Arkansas, County: Cleburne County, Total Pop: 25361, Poverty: 15.4
Entry(1007): Income 42313, State: Texas, County: Anderson County, Total Pop: 57747, Poverty: 15.7
Entry(1008): Income 42333, State: Ohio, County: Highland County, Total Pop: 43031, Poverty: 21.6
Entry(1009): Income 42356, State: Virginia, County: Richmond city, Total Pop: 220892, Poverty: 25.2
Entry(1010): Income 42367, State: Texas, County: McCulloch County, Total Pop: 8145, Poverty: 16.3
Entry(1011): Income 42370, State: Michigan, County: Missaukee County, Total Pop: 14982, Poverty: 15.9
Entry(1012): Income 42386, State: West Virginia, County: Raleigh County, Total Pop: 77097, Poverty: 17.6
Entry(1013): Income 42386, State: Colorado, County: Pueblo County, Total Pop: 163368, Poverty: 19.8
Entry(1014): Income 42388, State: Mississippi, County: Franklin County, Total Pop: 7772, Poverty: 17.9
Entry(1015): Income 42398, State: Georgia, County: Spalding County, Total Pop: 64192, Poverty: 21.6
Entry(1016): Income 42419, State: Texas, County: Comanche County, Total Pop: 13492, Poverty: 18.2
Entry(1017): Income 42434, State: Iowa, County: Wayne County, Total Pop: 6405, Poverty: 15.9
Entry(1018): Income 42439, State: Minnesota, County: Mahnomen County, Total Pop: 5500, Poverty: 22.7
Entry(1019): Income 42441, State: Texas, County: Terry County, Total Pop: 12755, Poverty: 13.7
Entry(1020): Income 42444, State: Utah, County: Wayne County, Total Pop: 2700, Poverty: 9.2
Entry(1021): Income 42450, State: Illinois, County: Gallatin County, Total Pop: 5226, Poverty: 16.6
Entry(1022): Income 42454, State: Montana, County: Treasure County, Total Pop: 790, Poverty: 17.0
Entry(1023): Income 42473, State: West Virginia, County: Marshall County, Total Pop: 32006, Poverty: 15.2
Entry(1024): Income 42487, State: Colorado, County: Delta County, Total Pop: 30217, Poverty: 16.5
Entry(1025): Income 42500, State: Texas, County: Coke County, Total Pop: 3238, Poverty: 16.6
Entry(1026): Income 42500, State: Texas, County: Briscoe County, Total Pop: 1591, Poverty: 13.9
Entry(1027): Income 42512, State: California, County: Tehama County, Total Pop: 63247, Poverty: 20.9
Entry(1028): Income 42519, State: Oregon, County: Curry County, Total Pop: 22377, Poverty: 15.5
Entry(1029): Income 42531, State: Oregon, County: Klamath County, Total Pop: 66018, Poverty: 18.7
Entry(1030): Income 42534, State: North Carolina, County: Mitchell County, Total Pop: 15155, Poverty: 15.4
Entry(1031): Income 42559, State: Michigan, County: Mackinac County, Total Pop: 10836, Poverty: 15.4
Entry(1032): Income 42567, State: Oklahoma, County: Garvin County, Total Pop: 27751, Poverty: 17.1
Entry(1033): Income 42573, State: West Virginia, County: Hardy County, Total Pop: 13812, Poverty: 14.8
Entry(1034): Income 42581, State: Utah, County: San Juan County, Total Pop: 15193, Poverty: 28.4
