Entry(0): Total Pop: 74, State: Texas, County: Loving County, Income: 80938, Poverty: 17.1
Entry(860): Total Pop: 12092, State: Arkansas, County: Fulton County, Income: 36051, Poverty: 23.0
Entry(861): Total Pop: 12094, State: Arkansas, County: Desha County, Income: 27036, Poverty: 32.6
Entry(862): Total Pop: 12140, State: Puerto Rico, County: Florida Municipio, Income: 16919, Poverty: 56.4
Entry(863): Total Pop: 12140, State: Iowa, County: Chickasaw County, Income: 50688, Poverty: 8.9
Entry(864): Total Pop: 12152, State: Texas, County: Zavala County, Income: 25988, Poverty: 36.2
Entry(865): Total Pop: 12160, State: Oklahoma, County: Okfuskee County, Income: 38346, Poverty: 25.2
Entry(866): Total Pop: 12175, State: Kentucky, County: Martin County, Income: 29239, Poverty: 29.8
Entry(867): Total Pop: 12176, State: Virginia, County: Charlotte County, Income: 38350, Poverty: 22.7
Entry(868): Total Pop: 12189, State: Kentucky, County: Bath County, Income: 38763, Poverty: 24.0
Entry(869): Total Pop: 12214, State: Indiana, County: Blackford County, Income: 40622, Poverty: 12.8
Entry(870): Total Pop: 12226, State: Missouri, County: Madison County, Income: 37484, Poverty: 18.8
Entry(871): Total Pop: 12238, State: Puerto Rico, County: Ceiba Municipio, Income: 18998, Poverty: 43.2
Entry(872): Total Pop: 12248, State: Missouri, County: Linn County, Income: 41652, Poverty: 16.5
Entry(873): Total Pop: 12254, State: Virginia, County: Northumberland County, Income: 56677, Poverty: 13.5
Entry(874): Total Pop: 12331, State: North Carolina, County: Washington County, Income: 34557, Poverty: 24.1
Entry(875): Total Pop: 12347, State: Missouri, County: Bollinger County, Income: 40791, Poverty: 19.9
Entry(876): Total Pop: 12349, State: Kentucky, County: Powell County, Income: 34647, Poverty: 24.1
Entry(877): Total Pop: 12350, State: South Dakota, County: Lake County, Income: 58467, Poverty: 15.5
Entry(878): Total Pop: 12353, State: Texas, County: Red River County, Income: 35356, Poverty: 16.5
Entry(879): Total Pop: 12354, State: Iowa, County: Grundy County, Income: 65170, Poverty: 5.8
Entry(880): Total Pop: 12369, State: Virginia, County: Lunenburg County, Income: 39537, Poverty: 18.6
Entry(881): Total Pop: 12377, State: Kentucky, County: Todd County, Income: 38248, Poverty: 20.1
Entry(882): Total Pop: 12385, State: Georgia, County: Crawford County, Income: 41032, Poverty: 18.1
Entry(883): Total Pop: 12416, State: Illinois, County: Menard County, Income: 62368, Poverty: 11.4
Entry(884): Total Pop: 12426, State: Mississippi, County: Yalobusha County, Income: 37647, Poverty: 22.6
Entry(885): Total Pop: 12443, State: Arkansas, County: Stone County, Income: 33091, Poverty: 24.2
Entry(886): Total Pop: 12471, State: Indiana, County: Pike County, Income: 50196, Poverty: 10.6
Entry(887): Total Pop: 12490, State: Idaho, County: Shoshone County, Income: 39835, Poverty: 17.4
Entry(888): Total Pop: 12494, State: Arkansas, County: Little River County, Income: 36963, Poverty: 18.8
Entry(889): Total Pop: 12497, State: Iowa, County: Union County, Income: 47597, Poverty: 13.8
Entry(890): Total Pop: 12522, State: New Mexico, County: Colfax County, Income: 33042, Poverty: 23.5
Entry(891): Total Pop: 12530, State: Texas, County: Morris County, Income: 40227, Poverty: 15.7
Entry(892): Total Pop: 12547, State: Iowa, County: Appanoose County, Income: 40377, Poverty: 17.1
Entry(893): Total Pop: 12564, State: Missouri, County: DeKalb County, Income: 46517, Poverty: 12.5
Entry(894): Total Pop: 12574, State: Mississippi, County: Amite County, Income: 30129, Poverty: 22.8
Entry(895): Total Pop: 12592, State: Colorado, County: Archuleta County, Income: 48016, Poverty: 11.6
Entry(896): Total Pop: 12649, State: Alabama, County: Conecuh County, Income: 30434, Poverty: 26.4
Entry(897): Total Pop: 12651, State: Utah, County: Millard County, Income: 59312, Poverty: 11.6
Entry(898): Total Pop: 12659, State: Mississippi, County: Lawrence County, Income: 40432, Poverty: 19.8
Entry(899): Total Pop: 12670, State: Texas, County: Camp County, Income: 41811, Poverty: 17.4
Entry(900): Total Pop: 12735, State: Kentucky, County: Butler County, Income: 39362, Poverty: 22.0
Entry(901): Total Pop: 12746, State: Oklahoma, County: Haskell County, Income: 38017, Poverty: 19.2
Entry(902): Total Pop: 12747, State: Kentucky, County: Caldwell County, Income: 46182, Poverty: 17.5
Entry(903): Total Pop: 12752, State: Kansas, County: Allen County, Income: 43031, Poverty: 14.2
Entry(904): Total Pop: 12755, State: Texas, County: Terry County, Income: 42441, Poverty: 13.7
Entry(905): Total Pop: 12761, State: Indiana, County: Pulaski County, Income: 47633, Poverty: 13.2
Entry(906): Total Pop: 12776, State: Minnesota, County: Koochiching County, Income: 47131, Poverty: 17.1
Entry(907): Total Pop: 12779, State: Georgia, County: Bleckley County, Income: 40688, Poverty: 23.0
Entry(908): Total Pop: 12783, State: Kentucky, County: Magoffin County, Income: 29578, Poverty: 28.6
Entry(909): Total Pop: 12802, State: Virginia, County: Amelia County, Income: 58535, Poverty: 13.0
Entry(910): Total Pop: 12803, State: North Carolina, County: Pamlico County, Income: 45211, Poverty: 15.1
Entry(911): Total Pop: 12854, State: Michigan, County: Presque Isle County, Income: 43758, Poverty: 14.9
Entry(912): Total Pop: 12864, State: Iowa, County: Wright County, Income: 48935, Poverty: 12.6
Entry(913): Total Pop: 12880, State: Illinois, County: Cass County, Income: 50156, Poverty: 13.1
Entry(914): Total Pop: 12889, State: Idaho, County: Fremont County, Income: 51806, Poverty: 11.9
Entry(915): Total Pop: 12899, State: Illinois, County: Johnson County, Income: 45743, Poverty: 13.9
Entry(916): Total Pop: 12963, State: Georgia, County: Charlton County, Income: 43257, Poverty: 23.1
Entry(917): Total Pop: 12972, State: Texas, County: Wilbarger County, Income: 43913, Poverty: 16.5
Entry(918): Total Pop: 13037, State: California, County: Trinity County, Income: 36563, Poverty: 19.9
Entry(919): Total Pop: 13056, State: Colorado, County: Moffat County, Income: 53010, Poverty: 10.1
Entry(920): Total Pop: 13066, State: Washington, County: Pend Oreille County, Income: 49184, Poverty: 16.6
Entry(921): Total Pop: 13084, State: Alabama, County: Sumter County, Income: 21663, Poverty: 36.0
Entry(922): Total Pop: 13095, State: Texas, County: Dawson County, Income: 43201, Poverty: 18.5
Entry(923): Total Pop: 13108, State: Virginia, County: Madison County, Income: 52287, Poverty: 9.8
Entry(924): Total Pop: 13120, State: Idaho, County: Franklin County, Income: 51583, Poverty: 12.2
Entry(925): Total Pop: 13142, State: Ohio, County: Vinton County, Income: 41541, Poverty: 21.1
Entry(926): Total Pop: 13180, State: Kentucky, County: Webster County, Income: 39273, Poverty: 21.4
Entry(927): Total Pop: 13188, State: Alabama, County: Choctaw County, Income: 32122, Poverty: 22.3
Entry(928): Total Pop: 13197, State: Florida, County: Glades County, Income: 37385, Poverty: 18.0
Entry(929): Total Pop: 13210, State: West Virginia, County: Summers County, Income: 35218, Poverty: 19.0
Entry(930): Total Pop: 13243, State: Wisconsin, County: Buffalo County, Income: 54753, Poverty: 10.7
Entry(931): Total Pop: 13248, State: Tennessee, County: Stewart County, Income: 44090, Poverty: 19.0
Entry(932): Total Pop: 13256, State: Virginia, County: Martinsville city, Income: 33545, Poverty: 24.0
Entry(933): Total Pop: 13276, State: Kentucky, County: Breathitt County, Income: 25861, Poverty: 36.0
Entry(934): Total Pop: 13281, State: Kentucky, County: Morgan County, Income: 33523, Poverty: 25.6
Entry(935): Total Pop: 13290, State: Montana, County: Big Horn County, Income: 47276, Poverty: 26.8
Entry(936): Total Pop: 13311, State: Illinois, County: Greene County, Income: 44502, Poverty: 17.9
Entry(937): Total Pop: 13322, State: Kansas, County: Jackson County, Income: 53592, Poverty: 9.9
Entry(938): Total Pop: 13327, State: Iowa, County: Cass County, Income: 45637, Poverty: 15.1
Entry(939): Total Pop: 13359, State: Tennessee, County: Grundy County, Income: 31919, Poverty: 28.5
Entry(940): Total Pop: 13368, State: Texas, County: Lamb County, Income: 43712, Poverty: 20.5
Entry(941): Total Pop: 13369, State: Missouri, County: Wayne County, Income: 35135, Poverty: 23.4
Entry(942): Total Pop: 13369, State: Kentucky, County: Jackson County, Income: 32055, Poverty: 33.0
Entry(943): Total Pop: 13391, State: Missouri, County: Douglas County, Income: 33003, Poverty: 20.6
Entry(944): Total Pop: 13393, State: Illinois, County: Clay County, Income: 47427, Poverty: 14.0
Entry(945): Total Pop: 13407, State: Alabama, County: Clay County, Income: 37287, Poverty: 19.1
Entry(946): Total Pop: 13470, State: Illinois, County: Ford County, Income: 50851, Poverty: 15.7
Entry(947): Total Pop: 13472, State: Arkansas, County: Howard County, Income: 34851, Poverty: 21.0
Entry(948): Total Pop: 13479, State: Wyoming, County: Goshen County, Income: 48422, Poverty: 13.2
Entry(949): Total Pop: 13492, State: Texas, County: Comanche County, Income: 42419, Poverty: 18.2
Entry(950): Total Pop: 13506, State: North Carolina, County: Perquimans County, Income: 44039, Poverty: 18.8
Entry(951): Total Pop: 13517, State: West Virginia, County: Monroe County, Income: 36684, Poverty: 17.2
Entry(952): Total Pop: 13519, State: Oklahoma, County: Hughes County, Income: 38425, Poverty: 20.1
Entry(953): Total Pop: 13521, State: Arkansas, County: Izard County, Income: 39135, Poverty: 17.7
Entry(954): Total Pop: 13565, State: Kentucky, County: Lewis County, Income: 32054, Poverty: 26.1
Entry(955): Total Pop: 13566, State: Wisconsin, County: Price County, Income: 45680, Poverty: 11.9
Entry(956): Total Pop: 13610, State: Missouri, County: Osage County, Income: 54503, Poverty: 6.8
Entry(957): Total Pop: 13626, State: Minnesota, County: Wadena County, Income: 45018, Poverty: 15.0
Entry(958): Total Pop: 13660, State: Texas, County: Callahan County, Income: 40945, Poverty: 15.6
Entry(959): Total Pop: 13675, State: Georgia, County: Macon County, Income: 30851, Poverty: 28.6
Entry(960): Total Pop: 13677, State: Montana, County: Glacier County, Income: 29201, Poverty: 33.1
Entry(961): Total Pop: 13732, State: Georgia, County: Jasper County, Income: 42067, Poverty: 19.4
Entry(962): Total Pop: 13745, State: Alaska, County: Ketchikan Gateway Borough, Income: 67321, Poverty: 10.6
Entry(963): Total Pop: 13773, State: Alaska, County: Kodiak Island Borough, Income: 74167, Poverty: 9.3
Entry(964): Total Pop: 13797, State: Oklahoma, County: Murray County, Income: 51844, Poverty: 14.1
Entry(965): Total Pop: 13801, State: Mississippi, County: Greene County, Income: 48029, Poverty: 15.1
Entry(966): Total Pop: 13806, State: Louisiana, County: Bienville Parish, Income: 34077, Poverty: 25.3
Entry(967): Total Pop: 13807, State: Missouri, County: Ripley County, Income: 33849, Poverty: 23.4
Entry(968): Total Pop: 13812, State: West Virginia, County: Hardy County, Income: 42573, Poverty: 14.8
Entry(969): Total Pop: 13821, State: Michigan, County: Crawford County, Income: 42666, Poverty: 16.4
Entry(970): Total Pop: 13832, State: Nebraska, County: York County, Income: 59966, Poverty: 9.7
Entry(971): Total Pop: 13839, State: Tennessee, County: Cannon County, Income: 47457, Poverty: 17.0
Entry(972): Total Pop: 13843, State: Virginia, County: Falls Church city, Income: 114795, Poverty: 2.9
Entry(973): Total Pop: 13862, State: Missouri, County: Cedar County, Income: 35930, Poverty: 22.6
Entry(974): Total Pop: 13866, State: Alabama, County: Crenshaw County, Income: 38937, Poverty: 17.6
Entry(975): Total Pop: 13885, State: Arkansas, County: Lincoln County, Income: 38873, Poverty: 17.9
Entry(976): Total Pop: 13899, State: Oklahoma, County: Atoka County, Income: 37106, Poverty: 19.8
Entry(977): Total Pop: 13904, State: Illinois, County: Mason County, Income: 44695, Poverty: 13.9
Entry(978): Total Pop: 13907, State: South Dakota, County: Clay County, Income: 41773, Poverty: 24.7
Entry(979): Total Pop: 13916, State: Missouri, County: Mississippi County, Income: 32212, Poverty: 31.7
Entry(980): Total Pop: 13940, State: Iowa, County: Allamakee County, Income: 47895, Poverty: 11.4
Entry(981): Total Pop: 13944, State: Iowa, County: O'Brien County, Income: 56314, Poverty: 9.7
Entry(982): Total Pop: 13966, State: Minnesota, County: Faribault County, Income: 50847, Poverty: 11.5
Entry(983): Total Pop: 13979, State: Texas, County: Madison County, Income: 44004, Poverty: 15.4
Entry(984): Total Pop: 14021, State: Alabama, County: Lamar County, Income: 36016, Poverty: 23.1
Entry(985): Total Pop: 14037, State: Georgia, County: Screven County, Income: 36556, Poverty: 22.6
Entry(986): Total Pop: 14053, State: Georgia, County: Dooly County, Income: 33389, Poverty: 23.2
Entry(987): Total Pop: 14056, State: Indiana, County: Newton County, Income: 52193, Poverty: 14.0
Entry(988): Total Pop: 14058, State: California, County: Mono County, Income: 60595, Poverty: 9.9
Entry(989): Total Pop: 14061, State: Georgia, County: McIntosh County, Income: 43285, Poverty: 20.3
Entry(990): Total Pop: 14085, State: Florida, County: Jefferson County, Income: 47599, Poverty: 13.9
Entry(991): Total Pop: 14102, State: Kentucky, County: Larue County, Income: 41720, Poverty: 15.8
Entry(992): Total Pop: 14151, State: Colorado, County: Las Animas County, Income: 40586, Poverty: 17.0
Entry(993): Total Pop: 14166, State: Wyoming, County: Converse County, Income: 62776, Poverty: 8.0
Entry(994): Total Pop: 14186, State: Illinois, County: White County, Income: 46279, Poverty: 13.9
Entry(995): Total Pop: 14187, State: Texas, County: Newton County, Income: 40180, Poverty: 15.7
Entry(996): Total Pop: 14196, State: Iowa, County: Harrison County, Income: 57558, Poverty: 10.4
Entry(997): Total Pop: 14197, State: Minnesota, County: Pennington County, Income: 53893, Poverty: 10.3
Entry(998): Total Pop: 14208, State: North Carolina, County: Swain County, Income: 35271, Poverty: 20.9
Entry(999): Total Pop: 14211, State: Wisconsin, County: Rusk County, Income: 41930, Poverty: 15.2
Entry(1000): Total Pop: 14238, State: Florida, County: Hamilton County, Income: 36209, Poverty: 26.6
Entry(1001): Total Pop: 14239, State: Ohio, County: Monroe County, Income: 43299, Poverty: 19.7
Entry(1002): Total Pop: 14260, State: Illinois, County: Washington County, Income: 54520, Poverty: 9.7
Entry(1003): Total Pop: 14286, State: Kentucky, County: Trigg County, Income: 47259, Poverty: 15.8
Entry(1004): Total Pop: 14291, State: South Dakota, County: Oglala Lakota County, Income: 27804, Poverty: 51.9
Entry(1005): Total Pop: 14325, State: Nebraska, County: Saline County, Income: 50932, Poverty: 11.6
Entry(1006): Total Pop: 14331, State: Virginia, County: Clarke County, Income: 72129, Poverty: 10.4
Entry(1007): Total Pop: 14345, State: West Virginia, County: Braxton County, Income: 41266, Poverty: 22.1
Entry(1008): Total Pop: 14348, State: West Virginia, County: Roane County, Income: 37931, Poverty: 19.3
Entry(1009): Total Pop: 14370, State: North Carolina, County: Chowan County, Income: 41979, Poverty: 22.8
Entry(1010): Total Pop: 14382, State: Kentucky, County: Estill County, Income: 30692, Poverty: 30.4
Entry(1011): Total Pop: 14413, State: Tennessee, County: Bledsoe County, Income: 40450, Poverty: 20.7
Entry(1012): Total Pop: 14415, State: Texas, County: Zapata County, Income: 34550, Poverty: 34.1
Entry(1013): Total Pop: 14458, State: Florida, County: Calhoun County, Income: 36237, Poverty: 12.9
Entry(1014): Total Pop: 14481, State: Texas, County: Trinity County, Income: 37398, Poverty: 18.4
Entry(1015): Total Pop: 14498, State: Ohio, County: Noble County, Income: 42171, Poverty: 12.9
Entry(1016): Total Pop: 14515, State: Kentucky, County: Fleming County, Income: 41095, Poverty: 19.5
Entry(1017): Total Pop: 14526, State: Puerto Rico, County: Rincón Municipio, Income: 18292, Poverty: 48.6
Entry(1018): Total Pop: 14530, State: Kentucky, County: Pendleton County, Income: 49706, Poverty: 15.1
Entry(1019): Total Pop: 14552, State: Mississippi, County: Tallahatchie County, Income: 30000, Poverty: 28.3
Entry(1020): Total Pop: 14554, State: Tennessee, County: Crockett County, Income: 39692, Poverty: 17.7
Entry(1021): Total Pop: 14563, State: Oklahoma, County: Craig County, Income: 40465, Poverty: 17.9
Entry(1022): Total Pop: 14594, State: Illinois, County: Massac County, Income: 42168, Poverty: 18.4
Entry(1023): Total Pop: 14617, State: Mississippi, County: Calhoun County, Income: 33370, Poverty: 26.9
Entry(1024): Total Pop: 14631, State: Pennsylvania, County: Fulton County, Income: 50007, Poverty: 11.5
Entry(1025): Total Pop: 14631, State: Louisiana, County: Winn Parish, Income: 29472, Poverty: 27.3
Entry(1026): Total Pop: 14654, State: Tennessee, County: Sequatchie County, Income: 51312, Poverty: 14.4
Entry(1027): Total Pop: 14654, State: Georgia, County: Oglethorpe County, Income: 43938, Poverty: 17.6
Entry(1028): Total Pop: 14657, State: North Dakota, County: Rolette County, Income: 36170, Poverty: 32.4
Entry(1029): Total Pop: 14670, State: Mississippi, County: Walthall County, Income: 31077, Poverty: 26.3
Entry(1030): Total Pop: 14704, State: Illinois, County: Carroll County, Income: 50555, Poverty: 11.3
Entry(1031): Total Pop: 14711, State: Illinois, County: Moultrie County, Income: 53979, Poverty: 12.1
Entry(1032): Total Pop: 14756, State: Texas, County: Jackson County, Income: 58504, Poverty: 13.7
Entry(1033): Total Pop: 14757, State: Kansas, County: Bourbon County, Income: 39379, Poverty: 17.6
Entry(1034): Total Pop: 14769, State: Missouri, County: Gasconade County, Income: 50687, Poverty: 12.0
Entry(1035): Total Pop: 14773, State: Ohio, County: Morgan County, Income: 40276, Poverty: 21.5
Entry(1036): Total Pop: 14791, State: Texas, County: Reeves County, Income: 49390, Poverty: 13.2
Entry(1037): Total Pop: 14793, State: Colorado, County: Grand County, Income: 66489, Poverty: 13.1
Entry(1038): Total Pop: 14798, State: Minnesota, County: Renville County, Income: 56721, Poverty: 11.0
Entry(1039): Total Pop: 14808, State: South Carolina, County: Calhoun County, Income: 44010, Poverty: 18.3
Entry(1040): Total Pop: 14817, State: Virginia, County: Williamsburg city, Income: 54606, Poverty: 21.5
Entry(1041): Total Pop: 14822, State: Iowa, County: Butler County, Income: 53937, Poverty: 9.4
Entry(1042): Total Pop: 14842, State: South Carolina, County: Bamberg County, Income: 32330, Poverty: 24.5
Entry(1043): Total Pop: 14863, State: Virginia, County: Nelson County, Income: 53834, Poverty: 14.9
Entry(1044): Total Pop: 14888, State: Minnesota, County: Sibley County, Income: 60848, Poverty: 8.5
Entry(1045): Total Pop: 14915, State: Kentucky, County: Union County, Income: 42139, Poverty: 22.9
Entry(1046): Total Pop: 14929, State: South Dakota, County: Union County, Income: 65434, Poverty: 7.3
Entry(1047): Total Pop: 14930, State: Louisiana, County: LaSalle Parish, Income: 34712, Poverty: 24.8
Entry(1048): Total Pop: 14933, State: Iowa, County: Mills County, Income: 67949, Poverty: 9.1
Entry(1049): Total Pop: 14939, State: Alabama, County: Cleburne County, Income: 37396, Poverty: 19.1
Entry(1050): Total Pop: 14979, State: Oklahoma, County: Choctaw County, Income: 30298, Poverty: 31.0
Entry(1051): Total Pop: 14982, State: Michigan, County: Missaukee County, Income: 42370, Poverty: 15.9
Entry(1052): Total Pop: 14990, State: Texas, County: Nolan County, Income: 42019, Poverty: 16.8
Entry(1053): Total Pop: 14995, State: Alabama, County: Hale County, Income: 34679, Poverty: 26.1
Entry(1054): Total Pop: 14999, State: Georgia, County: Jeff Davis County, Income: 37267, Poverty: 20.6
Entry(1055): Total Pop: 15004, State: Wisconsin, County: Bayfield County, Income: 50110, Poverty: 11.0
Entry(1056): Total Pop: 15007, State: Indiana, County: Brown County, Income: 59292, Poverty: 10.6
Entry(1057): Total Pop: 15025, State: Missouri, County: Livingston County, Income: 45929, Poverty: 17.9
Entry(1058): Total Pop: 15051, State: Texas, County: Karnes County, Income: 53051, Poverty: 19.3
Entry(1059): Total Pop: 15110, State: Idaho, County: Gooding County, Income: 42626, Poverty: 15.9
Entry(1060): Total Pop: 15155, State: North Carolina, County: Mitchell County, Income: 42534, Poverty: 15.4
Entry(1061): Total Pop: 15164, State: Wisconsin, County: Marquette County, Income: 49052, Poverty: 11.8
Entry(1062): Total Pop: 15166, State: Iowa, County: Kossuth County, Income: 54868, Poverty: 10.0
Entry(1063): Total Pop: 15181, State: Virginia, County: Dickenson County, Income: 29916, Poverty: 23.0
Entry(1064): Total Pop: 15190, State: Arkansas, County: Clay County, Income: 32219, Poverty: 22.3
Entry(1065): Total Pop: 15193, State: Utah, County: San Juan County, Income: 42581, Poverty: 28.4
Entry(1066): Total Pop: 15201, State: Iowa, County: Hamilton County, Income: 55836, Poverty: 9.4
Entry(1067): Total Pop: 15238, State: Michigan, County: Arenac County, Income: 39947, Poverty: 18.5
Entry(1068): Total Pop: 15239, State: Wisconsin, County: Burnett County, Income: 45891, Poverty: 14.6
Entry(1069): Total Pop: 15290, State: Indiana, County: Tipton County, Income: 53931, Poverty: 9.4
Entry(1070): Total Pop: 15297, State: Puerto Rico, County: Jayuya Municipio, Income: 15615, Poverty: 60.3
Entry(1071): Total Pop: 15300, State: Florida, County: Union County, Income: 37460, Poverty: 21.4
Entry(1072): Total Pop: 15319, State: Missouri, County: Macon County, Income: 38903, Poverty: 17.0
Entry(1073): Total Pop: 15376, State: Louisiana, County: West Feliciana Parish, Income: 55647, Poverty: 12.5
Entry(1074): Total Pop: 15393, State: Iowa, County: Page County, Income: 46708, Poverty: 13.6
Entry(1075): Total Pop: 15397, State: Ohio, County: Harrison County, Income: 46223, Poverty: 15.7
Entry(1076): Total Pop: 15430, State: Minnesota, County: Redwood County, Income: 51871, Poverty: 11.8
Entry(1077): Total Pop: 15462, State: Virginia, County: Appomattox County, Income: 54875, Poverty: 14.4
Entry(1078): Total Pop: 15489, State: Virginia, County: Alleghany County, Income: 46020, Poverty: 19.3
Entry(1079): Total Pop: 15510, State: Oklahoma, County: Kingfisher County, Income: 62829, Poverty: 8.9
Entry(1080): Total Pop: 15534, State: New Mexico, County: Torrance County, Income: 35543, Poverty: 27.1
Entry(1081): Total Pop: 15537, State: Virginia, County: Nottoway County, Income: 38410, Poverty: 21.5
Entry(1082): Total Pop: 15537, State: Minnesota, County: Roseau County, Income: 56273, Poverty: 9.2
Entry(1083): Total Pop: 15566, State: Missouri, County: Dent County, Income: 38829, Poverty: 20.8
Entry(1084): Total Pop: 15577, State: Michigan, County: Gogebic County, Income: 36689, Poverty: 20.4
Entry(1085): Total Pop: 15594, State: Virginia, County: Floyd County, Income: 48396, Poverty: 12.0
Entry(1086): Total Pop: 15629, State: Georgia, County: Brooks County, Income: 34890, Poverty: 23.6
Entry(1087): Total Pop: 15638, State: Wisconsin, County: Washburn County, Income: 46592, Poverty: 13.0
Entry(1088): Total Pop: 15644, State: Indiana, County: Vermillion County, Income: 45440, Poverty: 13.4
Entry(1089): Total Pop: 15677, State: Kentucky, County: Henry County, Income: 50787, Poverty: 18.2
Entry(1090): Total Pop: 15689, State: Wyoming, County: Carbon County, Income: 57644, Poverty: 13.3
Entry(1091): Total Pop: 15690, State: Kentucky, County: Knott County, Income: 30503, Poverty: 32.6
Entry(1092): Total Pop: 15708, State: Virginia, County: Grayson County, Income: 32048, Poverty: 20.2
Entry(1093): Total Pop: 15720, State: Iowa, County: Madison County, Income: 60077, Poverty: 7.3
Entry(1094): Total Pop: 15779, State: Wisconsin, County: Ashland County, Income: 41505, Poverty: 14.6
Entry(1095): Total Pop: 15793, State: West Virginia, County: Wetzel County, Income: 40694, Poverty: 23.2
Entry(1096): Total Pop: 15794, State: Illinois, County: Mercer County, Income: 55649, Poverty: 11.4
Entry(1097): Total Pop: 15804, State: Texas, County: Pecos County, Income: 50543, Poverty: 11.5
Entry(1098): Total Pop: 15805, State: Kentucky, County: Casey County, Income: 33031, Poverty: 26.6
Entry(1099): Total Pop: 15841, State: Minnesota, County: Aitkin County, Income: 45860, Poverty: 12.1
Entry(1100): Total Pop: 15844, State: Kentucky, County: Lawrence County, Income: 32703, Poverty: 24.5
Entry(1101): Total Pop: 15875, State: Nebraska, County: Otoe County, Income: 54605, Poverty: 10.0
Entry(1102): Total Pop: 15894, State: Kansas, County: Osage County, Income: 54186, Poverty: 12.8
Entry(1103): Total Pop: 15904, State: Iowa, County: Floyd County, Income: 48607, Poverty: 15.6
Entry(1104): Total Pop: 15904, State: Missouri, County: Moniteau County, Income: 50897, Poverty: 11.9
Entry(1105): Total Pop: 15907, State: Arkansas, County: Madison County, Income: 42894, Poverty: 17.8
Entry(1106): Total Pop: 15924, State: Illinois, County: Clark County, Income: 52068, Poverty: 14.3
Entry(1107): Total Pop: 15930, State: Illinois, County: Pike County, Income: 41387, Poverty: 14.9
Entry(1108): Total Pop: 15948, State: Minnesota, County: Kanabec County, Income: 50509, Poverty: 11.6
Entry(1109): Total Pop: 15952, State: Louisiana, County: Jackson Parish, Income: 36394, Poverty: 25.4
Entry(1110): Total Pop: 15953, State: Illinois, County: Richland County, Income: 46454, Poverty: 15.0
Entry(1111): Total Pop: 15954, State: Georgia, County: Jefferson County, Income: 29640, Poverty: 26.9
Entry(1112): Total Pop: 15980, State: Oregon, County: Baker County, Income: 43765, Poverty: 15.3
Entry(1113): Total Pop: 16001, State: Montana, County: Park County, Income: 44920, Poverty: 13.4
Entry(1114): Total Pop: 16018, State: Florida, County: Gulf County, Income: 44647, Poverty: 14.9
Entry(1115): Total Pop: 16089, State: Mississippi, County: Clarke County, Income: 37626, Poverty: 18.5
Entry(1116): Total Pop: 16114, State: Mississippi, County: Smith County, Income: 37697, Poverty: 18.2
Entry(1117): Total Pop: 16117, State: Virginia, County: Manassas Park city, Income: 79131, Poverty: 10.3
Entry(1118): Total Pop: 16154, State: Tennessee, County: Benton County, Income: 33702, Poverty: 22.3
Entry(1119): Total Pop: 16176, State: Illinois, County: De Witt County, Income: 55411, Poverty: 13.3
Entry(1120): Total Pop: 16209, State: Kansas, County: Neosho County, Income: 44402, Poverty: 21.4
Entry(1121): Total Pop: 16215, State: Colorado, County: Gunnison County, Income: 52651, Poverty: 14.1
Entry(1122): Total Pop: 16221, State: Washington, County: San Juan County, Income: 60271, Poverty: 10.7
Entry(1123): Total Pop: 16226, State: Oklahoma, County: Marshall County, Income: 45671, Poverty: 14.7
Entry(1124): Total Pop: 16231, State: Iowa, County: Iowa County, Income: 58077, Poverty: 9.8
Entry(1125): Total Pop: 16275, State: Idaho, County: Idaho County, Income: 40299, Poverty: 13.5
Entry(1126): Total Pop: 16282, State: Georgia, County: Dade County, Income: 43163, Poverty: 17.5
Entry(1127): Total Pop: 16296, State: Louisiana, County: Claiborne Parish, Income: 26877, Poverty: 29.9
Entry(1128): Total Pop: 16313, State: Wisconsin, County: Crawford County, Income: 47331, Poverty: 13.0
Entry(1129): Total Pop: 16323, State: Florida, County: Dixie County, Income: 35910, Poverty: 23.7
Entry(1130): Total Pop: 16329, State: Virginia, County: King William County, Income: 67423, Poverty: 10.9
Entry(1131): Total Pop: 16333, State: North Dakota, County: Richland County, Income: 60551, Poverty: 9.7
Entry(1132): Total Pop: 16339, State: Georgia, County: Telfair County, Income: 28044, Poverty: 27.7
Entry(1133): Total Pop: 16345, State: Colorado, County: Alamosa County, Income: 36315, Poverty: 27.8
Entry(1134): Total Pop: 16354, State: Georgia, County: Rabun County, Income: 39297, Poverty: 20.3
Entry(1135): Total Pop: 16371, State: West Virginia, County: Lewis County, Income: 39793, Poverty: 19.8
Entry(1136): Total Pop: 16374, State: Arkansas, County: Marion County, Income: 36113, Poverty: 19.5
Entry(1137): Total Pop: 16384, State: Wisconsin, County: Sawyer County, Income: 43565, Poverty: 17.7
Entry(1138): Total Pop: 16387, State: Iowa, County: Clay County, Income: 48978, Poverty: 11.8
Entry(1139): Total Pop: 16405, State: Missouri, County: Bates County, Income: 45605, Poverty: 14.3
Entry(1140): Total Pop: 16433, State: Illinois, County: Piatt County, Income: 67360, Poverty: 5.4
Entry(1141): Total Pop: 16435, State: Virginia, County: Brunswick County, Income: 40871, Poverty: 20.9
Entry(1142): Total Pop: 16441, State: Missouri, County: Dallas County, Income: 41441, Poverty: 15.7
Entry(1143): Total Pop: 16448, State: Oklahoma, County: Pawnee County, Income: 46460, Poverty: 15.0
