Entry(0): County: Abbeville County, State: South Carolina, Total Pop: 24788, Income: 35254, Poverty: 22.7
Entry(907): County: Erie County, State: Ohio, Total Pop: 75369, Income: 51033, Poverty: 13.0
Entry(908): County: Escambia County, State: Florida, Total Pop: 309924, Income: 47361, Poverty: 14.6
Entry(909): County: Escambia County, State: Alabama, Total Pop: 37621, Income: 35026, Poverty: 23.8
Entry(910): County: Esmeralda County, State: Nevada, Total Pop: 1102, Income: 39405, Poverty: 6.8
Entry(911): County: Essex County, State: New Jersey, Total Pop: 800401, Income: 57365, Poverty: 16.7
Entry(912): County: Essex County, State: Vermont, Total Pop: 6203, Income: 38767, Poverty: 15.5
Entry(913): County: Essex County, State: Massachusetts, Total Pop: 775860, Income: 73533, Poverty: 10.9
Entry(914): County: Essex County, State: Virginia, Total Pop: 11083, Income: 50629, Poverty: 12.3
Entry(915): County: Essex County, State: New York, Total Pop: 38233, Income: 55294, Poverty: 8.9
Entry(916): County: Estill County, State: Kentucky, Total Pop: 14382, Income: 30692, Poverty: 30.4
Entry(917): County: Etowah County, State: Alabama, Total Pop: 103132, Income: 42064, Poverty: 17.9
Entry(918): County: Eureka County, State: Nevada, Total Pop: 1728, Income: 67159, Poverty: 10.0
Entry(919): County: Evangeline Parish, State: Louisiana, Total Pop: 33750, Income: 31745, Poverty: 26.4
Entry(920): County: Evans County, State: Georgia, Total Pop: 10757, Income: 38736, Poverty: 26.0
Entry(921): County: Fairbanks North Star Borough, State: Alaska, Total Pop: 100031, Income: 76250, Poverty: 7.7
Entry(922): County: Fairfax County, State: Virginia, Total Pop: 1142004, Income: 117515, Poverty: 6.1
Entry(923): County: Fairfax city, State: Virginia, Total Pop: 23580, Income: 106870, Poverty: 7.8
Entry(924): County: Fairfield County, State: Ohio, Total Pop: 151526, Income: 63424, Poverty: 9.9
Entry(925): County: Fairfield County, State: South Carolina, Total Pop: 22868, Income: 35551, Poverty: 21.3
Entry(926): County: Fairfield County, State: Connecticut, Total Pop: 947328, Income: 89773, Poverty: 8.8
Entry(927): County: Fajardo Municipio, State: Puerto Rico, Total Pop: 33075, Income: 18941, Poverty: 43.7
Entry(928): County: Fall River County, State: South Dakota, Total Pop: 6783, Income: 48862, Poverty: 15.0
Entry(929): County: Fallon County, State: Montana, Total Pop: 2925, Income: 56806, Poverty: 5.8
Entry(930): County: Falls Church city, State: Virginia, Total Pop: 13843, Income: 114795, Poverty: 2.9
Entry(931): County: Falls County, State: Texas, Total Pop: 17289, Income: 38834, Poverty: 25.2
Entry(932): County: Fannin County, State: Georgia, Total Pop: 24480, Income: 43344, Poverty: 15.8
Entry(933): County: Fannin County, State: Texas, Total Pop: 33787, Income: 47875, Poverty: 14.8
Entry(934): County: Faribault County, State: Minnesota, Total Pop: 13966, Income: 50847, Poverty: 11.5
Entry(935): County: Faulk County, State: South Dakota, Total Pop: 2327, Income: 46750, Poverty: 10.9
Entry(936): County: Faulkner County, State: Arkansas, Total Pop: 121282, Income: 50316, Poverty: 16.3
Entry(937): County: Fauquier County, State: Virginia, Total Pop: 68406, Income: 94775, Poverty: 6.2
Entry(938): County: Fayette County, State: Illinois, Total Pop: 21980, Income: 44541, Poverty: 17.8
Entry(939): County: Fayette County, State: Iowa, Total Pop: 20139, Income: 48412, Poverty: 12.8
Entry(940): County: Fayette County, State: Kentucky, Total Pop: 315109, Income: 53013, Poverty: 18.6
Entry(941): County: Fayette County, State: Ohio, Total Pop: 28659, Income: 44289, Poverty: 17.7
Entry(942): County: Fayette County, State: Tennessee, Total Pop: 39336, Income: 57919, Poverty: 14.4
Entry(943): County: Fayette County, State: West Virginia, Total Pop: 44602, Income: 39297, Poverty: 20.0
Entry(944): County: Fayette County, State: Georgia, Total Pop: 110306, Income: 84861, Poverty: 6.3
Entry(945): County: Fayette County, State: Indiana, Total Pop: 23426, Income: 41476, Poverty: 18.2
Entry(946): County: Fayette County, State: Texas, Total Pop: 24963, Income: 56941, Poverty: 9.1
Entry(947): County: Fayette County, State: Alabama, Total Pop: 16657, Income: 36541, Poverty: 18.1
Entry(948): County: Fayette County, State: Pennsylvania, Total Pop: 133160, Income: 41632, Poverty: 18.8
Entry(949): County: Fentress County, State: Tennessee, Total Pop: 17940, Income: 32616, Poverty: 23.0
Entry(950): County: Fergus County, State: Montana, Total Pop: 11327, Income: 47110, Poverty: 14.7
Entry(951): County: Ferry County, State: Washington, Total Pop: 7568, Income: 41081, Poverty: 21.2
Entry(952): County: Fillmore County, State: Minnesota, Total Pop: 20825, Income: 57093, Poverty: 11.3
Entry(953): County: Fillmore County, State: Nebraska, Total Pop: 5603, Income: 56750, Poverty: 9.9
Entry(954): County: Finney County, State: Kansas, Total Pop: 37097, Income: 51703, Poverty: 16.2
Entry(955): County: Fisher County, State: Texas, Total Pop: 3875, Income: 45294, Poverty: 17.4
Entry(956): County: Flagler County, State: Florida, Total Pop: 105015, Income: 51049, Poverty: 13.3
Entry(957): County: Flathead County, State: Montana, Total Pop: 96147, Income: 51410, Poverty: 13.6
Entry(958): County: Fleming County, State: Kentucky, Total Pop: 14515, Income: 41095, Poverty: 19.5
Entry(959): County: Florence County, State: Wisconsin, Total Pop: 4354, Income: 47827, Poverty: 8.4
Entry(960): County: Florence County, State: South Carolina, Total Pop: 138537, Income: 43310, Poverty: 19.6
Entry(961): County: Florida Municipio, State: Puerto Rico, Total Pop: 12140, Income: 16919, Poverty: 56.4
Entry(962): County: Floyd County, State: Virginia, Total Pop: 15594, Income: 48396, Poverty: 12.0
Entry(963): County: Floyd County, State: Iowa, Total Pop: 15904, Income: 48607, Poverty: 15.6
Entry(964): County: Floyd County, State: Georgia, Total Pop: 96471, Income: 46096, Poverty: 18.1
Entry(965): County: Floyd County, State: Indiana, Total Pop: 76481, Income: 59451, Poverty: 10.8
Entry(966): County: Floyd County, State: Kentucky, Total Pop: 37447, Income: 31196, Poverty: 30.7
Entry(967): County: Floyd County, State: Texas, Total Pop: 5953, Income: 48767, Poverty: 18.2
Entry(968): County: Fluvanna County, State: Virginia, Total Pop: 26109, Income: 67964, Poverty: 6.1
Entry(969): County: Foard County, State: Texas, Total Pop: 1414, Income: 50000, Poverty: 5.7
Entry(970): County: Fond du Lac County, State: Wisconsin, Total Pop: 102082, Income: 57798, Poverty: 8.5
Entry(971): County: Ford County, State: Illinois, Total Pop: 13470, Income: 50851, Poverty: 15.7
Entry(972): County: Ford County, State: Kansas, Total Pop: 34658, Income: 49890, Poverty: 16.2
Entry(973): County: Forest County, State: Pennsylvania, Total Pop: 7388, Income: 37106, Poverty: 14.1
Entry(974): County: Forest County, State: Wisconsin, Total Pop: 9035, Income: 43356, Poverty: 17.5
Entry(975): County: Forrest County, State: Mississippi, Total Pop: 75835, Income: 39555, Poverty: 26.3
Entry(976): County: Forsyth County, State: North Carolina, Total Pop: 368362, Income: 48369, Poverty: 18.7
Entry(977): County: Forsyth County, State: Georgia, Total Pop: 211300, Income: 96445, Poverty: 6.5
Entry(978): County: Fort Bend County, State: Texas, Total Pop: 711421, Income: 93645, Poverty: 8.1
Entry(979): County: Foster County, State: North Dakota, Total Pop: 3318, Income: 59500, Poverty: 7.1
Entry(980): County: Fountain County, State: Indiana, Total Pop: 16620, Income: 46669, Poverty: 12.6
Entry(981): County: Franklin County, State: Georgia, Total Pop: 22328, Income: 39246, Poverty: 25.4
Entry(982): County: Franklin County, State: Indiana, Total Pop: 22835, Income: 55588, Poverty: 9.9
Entry(983): County: Franklin County, State: Maine, Total Pop: 30177, Income: 45541, Poverty: 12.4
Entry(984): County: Franklin County, State: Idaho, Total Pop: 13120, Income: 51583, Poverty: 12.2
Entry(985): County: Franklin County, State: Pennsylvania, Total Pop: 153003, Income: 58267, Poverty: 10.4
Entry(986): County: Franklin County, State: Vermont, Total Pop: 48816, Income: 62214, Poverty: 8.0
Entry(987): County: Franklin County, State: Florida, Total Pop: 11675, Income: 41267, Poverty: 20.1
Entry(988): County: Franklin County, State: Illinois, Total Pop: 39302, Income: 39454, Poverty: 19.9
Entry(989): County: Franklin County, State: Kansas, Total Pop: 25599, Income: 53167, Poverty: 12.5
Entry(990): County: Franklin County, State: Massachusetts, Total Pop: 70926, Income: 57307, Poverty: 10.9
Entry(991): County: Franklin County, State: Ohio, Total Pop: 1253507, Income: 56319, Poverty: 16.7
Entry(992): County: Franklin County, State: Texas, Total Pop: 10639, Income: 43967, Poverty: 15.0
Entry(993): County: Franklin County, State: Virginia, Total Pop: 56277, Income: 51208, Poverty: 14.8
Entry(994): County: Franklin County, State: Iowa, Total Pop: 10326, Income: 48172, Poverty: 15.6
Entry(995): County: Franklin County, State: Missouri, Total Pop: 102413, Income: 53849, Poverty: 10.6
Entry(996): County: Franklin County, State: Tennessee, Total Pop: 41397, Income: 46882, Poverty: 15.0
Entry(997): County: Franklin County, State: Washington, Total Pop: 89124, Income: 60275, Poverty: 15.9
Entry(998): County: Franklin County, State: Alabama, Total Pop: 31507, Income: 39501, Poverty: 23.0
Entry(999): County: Franklin County, State: Arkansas, Total Pop: 17803, Income: 39472, Poverty: 21.9
Entry(1000): County: Franklin County, State: Kentucky, Total Pop: 49969, Income: 53539, Poverty: 13.1
Entry(1001): County: Franklin County, State: Mississippi, Total Pop: 7772, Income: 42388, Poverty: 17.9
Entry(1002): County: Franklin County, State: Nebraska, Total Pop: 3019, Income: 49453, Poverty: 13.3
Entry(1003): County: Franklin County, State: New York, Total Pop: 51054, Income: 50733, Poverty: 19.4
Entry(1004): County: Franklin County, State: North Carolina, Total Pop: 63866, Income: 48344, Poverty: 16.4
Entry(1005): County: Franklin Parish, State: Louisiana, Total Pop: 20388, Income: 34722, Poverty: 28.8
Entry(1006): County: Franklin city, State: Virginia, Total Pop: 8334, Income: 38760, Poverty: 16.6
Entry(1007): County: Frederick County, State: Maryland, Total Pop: 246105, Income: 88502, Poverty: 7.2
Entry(1008): County: Frederick County, State: Virginia, Total Pop: 83784, Income: 71037, Poverty: 5.6
Entry(1009): County: Fredericksburg city, State: Virginia, Total Pop: 28135, Income: 57258, Poverty: 16.3
Entry(1010): County: Freeborn County, State: Minnesota, Total Pop: 30619, Income: 51174, Poverty: 11.8
Entry(1011): County: Freestone County, State: Texas, Total Pop: 19646, Income: 45890, Poverty: 17.3
Entry(1012): County: Fremont County, State: Wyoming, Total Pop: 40354, Income: 55013, Poverty: 13.7
Entry(1013): County: Fremont County, State: Colorado, Total Pop: 46601, Income: 44712, Poverty: 15.8
Entry(1014): County: Fremont County, State: Idaho, Total Pop: 12889, Income: 51806, Poverty: 11.9
Entry(1015): County: Fremont County, State: Iowa, Total Pop: 6985, Income: 54430, Poverty: 11.0
Entry(1016): County: Fresno County, State: California, Total Pop: 971616, Income: 48730, Poverty: 25.4
Entry(1017): County: Frio County, State: Texas, Total Pop: 19110, Income: 37382, Poverty: 20.3
Entry(1018): County: Frontier County, State: Nebraska, Total Pop: 2624, Income: 52090, Poverty: 10.9
Entry(1019): County: Fulton County, State: Arkansas, Total Pop: 12092, Income: 36051, Poverty: 23.0
Entry(1020): County: Fulton County, State: Kentucky, Total Pop: 6259, Income: 28274, Poverty: 25.3
Entry(1021): County: Fulton County, State: New York, Total Pop: 53955, Income: 48033, Poverty: 16.0
Entry(1022): County: Fulton County, State: Georgia, Total Pop: 1010420, Income: 61336, Poverty: 16.0
Entry(1023): County: Fulton County, State: Indiana, Total Pop: 20296, Income: 47108, Poverty: 13.3
Entry(1024): County: Fulton County, State: Pennsylvania, Total Pop: 14631, Income: 50007, Poverty: 11.5
Entry(1025): County: Fulton County, State: Illinois, Total Pop: 35733, Income: 48599, Poverty: 15.5
Entry(1026): County: Fulton County, State: Ohio, Total Pop: 42296, Income: 57774, Poverty: 10.6
Entry(1027): County: Furnas County, State: Nebraska, Total Pop: 4814, Income: 43400, Poverty: 13.5
Entry(1028): County: Gadsden County, State: Florida, Total Pop: 46113, Income: 39830, Poverty: 24.4
Entry(1029): County: Gage County, State: Nebraska, Total Pop: 21632, Income: 52223, Poverty: 9.1
Entry(1030): County: Gaines County, State: Texas, Total Pop: 19889, Income: 58167, Poverty: 11.0
Entry(1031): County: Galax city, State: Virginia, Total Pop: 6788, Income: 31311, Poverty: 21.2
Entry(1032): County: Gallatin County, State: Kentucky, Total Pop: 8652, Income: 50250, Poverty: 13.4
Entry(1033): County: Gallatin County, State: Montana, Total Pop: 100733, Income: 59397, Poverty: 13.0
Entry(1034): County: Gallatin County, State: Illinois, Total Pop: 5226, Income: 42450, Poverty: 16.6
Entry(1035): County: Gallia County, State: Ohio, Total Pop: 30203, Income: 42002, Poverty: 20.9
Entry(1036): County: Galveston County, State: Texas, Total Pop: 321184, Income: 65702, Poverty: 13.9
Entry(1037): County: Garden County, State: Nebraska, Total Pop: 1913, Income: 48125, Poverty: 11.7
Entry(1038): County: Garfield County, State: Utah, Total Pop: 5020, Income: 51700, Poverty: 13.1
Entry(1039): County: Garfield County, State: Colorado, Total Pop: 57945, Income: 66503, Poverty: 9.6
Entry(1040): County: Garfield County, State: Montana, Total Pop: 1086, Income: 47188, Poverty: 5.1
Entry(1041): County: Garfield County, State: Nebraska, Total Pop: 1958, Income: 46509, Poverty: 7.2
Entry(1042): County: Garfield County, State: Oklahoma, Total Pop: 62421, Income: 50724, Poverty: 13.6
Entry(1043): County: Garfield County, State: Washington, Total Pop: 2226, Income: 51399, Poverty: 11.7
Entry(1044): County: Garland County, State: Arkansas, Total Pop: 97994, Income: 41672, Poverty: 19.1
Entry(1045): County: Garrard County, State: Kentucky, Total Pop: 17226, Income: 47906, Poverty: 18.2
Entry(1046): County: Garrett County, State: Maryland, Total Pop: 29516, Income: 48174, Poverty: 11.4
Entry(1047): County: Garvin County, State: Oklahoma, Total Pop: 27751, Income: 42567, Poverty: 17.1
Entry(1048): County: Garza County, State: Texas, Total Pop: 6739, Income: 53832, Poverty: 13.5
Entry(1049): County: Gasconade County, State: Missouri, Total Pop: 14769, Income: 50687, Poverty: 12.0
Entry(1050): County: Gaston County, State: North Carolina, Total Pop: 214049, Income: 46626, Poverty: 16.5
Entry(1051): County: Gates County, State: North Carolina, Total Pop: 11601, Income: 52481, Poverty: 12.4
Entry(1052): County: Geary County, State: Kansas, Total Pop: 35796, Income: 46096, Poverty: 14.9
Entry(1053): County: Geauga County, State: Ohio, Total Pop: 93895, Income: 77104, Poverty: 6.5
Entry(1054): County: Gem County, State: Idaho, Total Pop: 16850, Income: 42888, Poverty: 20.7
Entry(1055): County: Genesee County, State: Michigan, Total Pop: 410881, Income: 45231, Poverty: 20.0
Entry(1056): County: Genesee County, State: New York, Total Pop: 58537, Income: 54033, Poverty: 12.8
Entry(1057): County: Geneva County, State: Alabama, Total Pop: 26572, Income: 39293, Poverty: 22.5
Entry(1058): County: Gentry County, State: Missouri, Total Pop: 6688, Income: 43777, Poverty: 18.1
Entry(1059): County: George County, State: Mississippi, Total Pop: 23545, Income: 47640, Poverty: 14.7
Entry(1060): County: Georgetown County, State: South Carolina, Total Pop: 61065, Income: 46967, Poverty: 18.7
Entry(1061): County: Gibson County, State: Indiana, Total Pop: 33596, Income: 51149, Poverty: 10.7
Entry(1062): County: Gibson County, State: Tennessee, Total Pop: 49222, Income: 41315, Poverty: 17.1
Entry(1063): County: Gila County, State: Arizona, Total Pop: 53145, Income: 41179, Poverty: 21.9
Entry(1064): County: Gilchrist County, State: Florida, Total Pop: 17191, Income: 42934, Poverty: 19.8
Entry(1065): County: Giles County, State: Tennessee, Total Pop: 29024, Income: 43925, Poverty: 15.9
Entry(1066): County: Giles County, State: Virginia, Total Pop: 16867, Income: 49734, Poverty: 11.3
Entry(1067): County: Gillespie County, State: Texas, Total Pop: 25939, Income: 56267, Poverty: 12.4
Entry(1068): County: Gilliam County, State: Oregon, Total Pop: 1910, Income: 39831, Poverty: 9.9
Entry(1069): County: Gilmer County, State: Georgia, Total Pop: 29614, Income: 46211, Poverty: 18.8
Entry(1070): County: Gilmer County, State: West Virginia, Total Pop: 8305, Income: 37175, Poverty: 25.0
Entry(1071): County: Gilpin County, State: Colorado, Total Pop: 5793, Income: 72544, Poverty: 5.6
Entry(1072): County: Glacier County, State: Montana, Total Pop: 13677, Income: 29201, Poverty: 33.1
Entry(1073): County: Glades County, State: Florida, Total Pop: 13197, Income: 37385, Poverty: 18.0
Entry(1074): County: Gladwin County, State: Michigan, Total Pop: 25324, Income: 40871, Poverty: 20.2
Entry(1075): County: Glascock County, State: Georgia, Total Pop: 3027, Income: 45273, Poverty: 11.5
Entry(1076): County: Glasscock County, State: Texas, Total Pop: 1420, Income: 64886, Poverty: 11.6
Entry(1077): County: Glenn County, State: California, Total Pop: 27935, Income: 46260, Poverty: 19.6
Entry(1078): County: Gloucester County, State: Virginia, Total Pop: 37035, Income: 63881, Poverty: 8.7
Entry(1079): County: Gloucester County, State: New Jersey, Total Pop: 291372, Income: 81489, Poverty: 7.9
Entry(1080): County: Glynn County, State: Georgia, Total Pop: 83467, Income: 47546, Poverty: 19.2
Entry(1081): County: Gogebic County, State: Michigan, Total Pop: 15577, Income: 36689, Poverty: 20.4
Entry(1082): County: Golden Valley County, State: Montana, Total Pop: 747, Income: 43854, Poverty: 18.2
Entry(1083): County: Golden Valley County, State: North Dakota, Total Pop: 1892, Income: 44018, Poverty: 9.4
Entry(1084): County: Goliad County, State: Texas, Total Pop: 7510, Income: 56737, Poverty: 16.4
Entry(1085): County: Gonzales County, State: Texas, Total Pop: 20558, Income: 47516, Poverty: 17.2
Entry(1086): County: Goochland County, State: Virginia, Total Pop: 22148, Income: 86652, Poverty: 5.3
Entry(1087): County: Goodhue County, State: Minnesota, Total Pop: 46138, Income: 62431, Poverty: 10.8
Entry(1088): County: Gooding County, State: Idaho, Total Pop: 15110, Income: 42626, Poverty: 15.9
Entry(1089): County: Gordon County, State: Georgia, Total Pop: 56424, Income: 43452, Poverty: 18.8
Entry(1090): County: Goshen County, State: Wyoming, Total Pop: 13479, Income: 48422, Poverty: 13.2
Entry(1091): County: Gosper County, State: Nebraska, Total Pop: 2019, Income: 61769, Poverty: 5.7
Entry(1092): County: Gove County, State: Kansas, Total Pop: 2632, Income: 50817, Poverty: 9.0
Entry(1093): County: Grady County, State: Georgia, Total Pop: 25048, Income: 39462, Poverty: 25.4
Entry(1094): County: Grady County, State: Oklahoma, Total Pop: 54351, Income: 55527, Poverty: 12.4
Entry(1095): County: Grafton County, State: New Hampshire, Total Pop: 89280, Income: 61036, Poverty: 10.9
Entry(1096): County: Graham County, State: Arizona, Total Pop: 37700, Income: 48173, Poverty: 21.4
Entry(1097): County: Graham County, State: Kansas, Total Pop: 2561, Income: 43427, Poverty: 12.3
Entry(1098): County: Graham County, State: North Carolina, Total Pop: 8607, Income: 36030, Poverty: 19.0
Entry(1099): County: Grainger County, State: Tennessee, Total Pop: 22942, Income: 40088, Poverty: 18.7
Entry(1100): County: Grand County, State: Utah, Total Pop: 9544, Income: 46658, Poverty: 12.7
Entry(1101): County: Grand County, State: Colorado, Total Pop: 14793, Income: 66489, Poverty: 13.1
Entry(1102): County: Grand Forks County, State: North Dakota, Total Pop: 70130, Income: 51410, Poverty: 17.0
Entry(1103): County: Grand Isle County, State: Vermont, Total Pop: 6950, Income: 66111, Poverty: 7.5
Entry(1104): County: Grand Traverse County, State: Michigan, Total Pop: 91222, Income: 58229, Poverty: 9.7
Entry(1105): County: Granite County, State: Montana, Total Pop: 3206, Income: 49063, Poverty: 9.9
Entry(1106): County: Grant County, State: Washington, Total Pop: 93420, Income: 52382, Poverty: 15.9
Entry(1107): County: Grant County, State: Kansas, Total Pop: 7716, Income: 57474, Poverty: 10.0
Entry(1108): County: Grant County, State: Nebraska, Total Pop: 682, Income: 45833, Poverty: 21.1
Entry(1109): County: Grant County, State: South Dakota, Total Pop: 7133, Income: 56276, Poverty: 7.6
Entry(1110): County: Grant County, State: Arkansas, Total Pop: 18076, Income: 49968, Poverty: 14.4
Entry(1111): County: Grant County, State: Oklahoma, Total Pop: 4458, Income: 54460, Poverty: 9.6
Entry(1112): County: Grant County, State: Indiana, Total Pop: 67615, Income: 42046, Poverty: 19.1
Entry(1113): County: Grant County, State: Kentucky, Total Pop: 24800, Income: 43881, Poverty: 21.5
Entry(1114): County: Grant County, State: North Dakota, Total Pop: 2387, Income: 50875, Poverty: 12.8
Entry(1115): County: Grant County, State: West Virginia, Total Pop: 11673, Income: 40093, Poverty: 12.7
Entry(1116): County: Grant County, State: Wisconsin, Total Pop: 51742, Income: 50522, Poverty: 15.3
Entry(1117): County: Grant County, State: Minnesota, Total Pop: 5923, Income: 53727, Poverty: 10.6
Entry(1118): County: Grant County, State: New Mexico, Total Pop: 28382, Income: 40470, Poverty: 22.0
Entry(1119): County: Grant County, State: Oregon, Total Pop: 7209, Income: 44826, Poverty: 13.7
Entry(1120): County: Grant Parish, State: Louisiana, Total Pop: 22305, Income: 40577, Poverty: 20.2
Entry(1121): County: Granville County, State: North Carolina, Total Pop: 58503, Income: 52089, Poverty: 14.3
Entry(1122): County: Gratiot County, State: Michigan, Total Pop: 41319, Income: 42256, Poverty: 20.5
Entry(1123): County: Graves County, State: Kentucky, Total Pop: 37259, Income: 40369, Poverty: 19.2
Entry(1124): County: Gray County, State: Kansas, Total Pop: 6004, Income: 61220, Poverty: 8.5
Entry(1125): County: Gray County, State: Texas, Total Pop: 22962, Income: 48314, Poverty: 14.9
Entry(1126): County: Grays Harbor County, State: Washington, Total Pop: 71454, Income: 45483, Poverty: 16.0
Entry(1127): County: Grayson County, State: Kentucky, Total Pop: 26129, Income: 35944, Poverty: 25.7
Entry(1128): County: Grayson County, State: Virginia, Total Pop: 15708, Income: 32048, Poverty: 20.2
Entry(1129): County: Grayson County, State: Texas, Total Pop: 126146, Income: 52683, Poverty: 14.3
Entry(1130): County: Greeley County, State: Nebraska, Total Pop: 2436, Income: 47218, Poverty: 9.8
Entry(1131): County: Greeley County, State: Kansas, Total Pop: 1210, Income: 47045, Poverty: 11.5
Entry(1132): County: Green County, State: Kentucky, Total Pop: 11044, Income: 37388, Poverty: 19.0
Entry(1133): County: Green County, State: Wisconsin, Total Pop: 36869, Income: 60609, Poverty: 8.9
Entry(1134): County: Green Lake County, State: Wisconsin, Total Pop: 18745, Income: 50276, Poverty: 11.4
Entry(1135): County: Greenbrier County, State: West Virginia, Total Pop: 35523, Income: 40483, Poverty: 17.8
Entry(1136): County: Greene County, State: Illinois, Total Pop: 13311, Income: 44502, Poverty: 17.9
Entry(1137): County: Greene County, State: Iowa, Total Pop: 9046, Income: 52529, Poverty: 10.0
Entry(1138): County: Greene County, State: Alabama, Total Pop: 8533, Income: 20954, Poverty: 38.8
Entry(1139): County: Greene County, State: Mississippi, Total Pop: 13801, Income: 48029, Poverty: 15.1
Entry(1140): County: Greene County, State: Missouri, Total Pop: 286759, Income: 43175, Poverty: 18.5
Entry(1141): County: Greene County, State: Ohio, Total Pop: 164825, Income: 65032, Poverty: 12.3
Entry(1142): County: Greene County, State: Georgia, Total Pop: 16732, Income: 45069, Poverty: 21.9
Entry(1143): County: Greene County, State: New York, Total Pop: 47791, Income: 53214, Poverty: 12.4
Entry(1144): County: Greene County, State: Tennessee, Total Pop: 68520, Income: 38266, Poverty: 17.2
Entry(1145): County: Greene County, State: Arkansas, Total Pop: 44197, Income: 45566, Poverty: 15.9
Entry(1146): County: Greene County, State: Pennsylvania, Total Pop: 37338, Income: 50972, Poverty: 14.8
Entry(1147): County: Greene County, State: Virginia, Total Pop: 19213, Income: 62952, Poverty: 9.4
Entry(1148): County: Greene County, State: Indiana, Total Pop: 32431, Income: 49648, Poverty: 12.9
Entry(1149): County: Greene County, State: North Carolina, Total Pop: 21059, Income: 36989, Poverty: 25.8
Entry(1150): County: Greenlee County, State: Arizona, Total Pop: 9368, Income: 56298, Poverty: 11.5
Entry(1151): County: Greensville County, State: Virginia, Total Pop: 11606, Income: 42121, Poverty: 17.0
Entry(1152): County: Greenup County, State: Kentucky, Total Pop: 36012, Income: 47517, Poverty: 16.5
Entry(1153): County: Greenville County, State: South Carolina, Total Pop: 490332, Income: 53739, Poverty: 13.5
Entry(1154): County: Greenwood County, State: Kansas, Total Pop: 6227, Income: 41648, Poverty: 12.4
Entry(1155): County: Greenwood County, State: South Carolina, Total Pop: 69981, Income: 39196, Poverty: 24.2
Entry(1156): County: Greer County, State: Oklahoma, Total Pop: 6018, Income: 35898, Poverty: 19.2
Entry(1157): County: Gregg County, State: Texas, Total Pop: 123402, Income: 47970, Poverty: 17.6
Entry(1158): County: Gregory County, State: South Dakota, Total Pop: 4209, Income: 42679, Poverty: 15.3
Entry(1159): County: Grenada County, State: Mississippi, Total Pop: 21379, Income: 34876, Poverty: 24.2
Entry(1160): County: Griggs County, State: North Dakota, Total Pop: 2276, Income: 50272, Poverty: 8.0
Entry(1161): County: Grimes County, State: Texas, Total Pop: 27358, Income: 49745, Poverty: 18.6
Entry(1162): County: Grundy County, State: Illinois, Total Pop: 50333, Income: 71598, Poverty: 9.4
Entry(1163): County: Grundy County, State: Iowa, Total Pop: 12354, Income: 65170, Poverty: 5.8
Entry(1164): County: Grundy County, State: Missouri, Total Pop: 10111, Income: 41092, Poverty: 20.5
Entry(1165): County: Grundy County, State: Tennessee, Total Pop: 13359, Income: 31919, Poverty: 28.5
Entry(1166): County: Guadalupe County, State: New Mexico, Total Pop: 4426, Income: 26060, Poverty: 13.0
Entry(1167): County: Guadalupe County, State: Texas, Total Pop: 150889, Income: 66187, Poverty: 10.6
Entry(1168): County: Guayama Municipio, State: Puerto Rico, Total Pop: 42623, Income: 15296, Poverty: 55.1
Entry(1169): County: Guayanilla Municipio, State: Puerto Rico, Total Pop: 19578, Income: 14988, Poverty: 55.8
Entry(1170): County: Guaynabo Municipio, State: Puerto Rico, Total Pop: 90773, Income: 34060, Poverty: 26.9
Entry(1171): County: Guernsey County, State: Ohio, Total Pop: 39414, Income: 42744, Poverty: 20.2
Entry(1172): County: Guilford County, State: North Carolina, Total Pop: 517197, Income: 49253, Poverty: 16.7
Entry(1173): County: Gulf County, State: Florida, Total Pop: 16018, Income: 44647, Poverty: 14.9
Entry(1174): County: Gunnison County, State: Colorado, Total Pop: 16215, Income: 52651, Poverty: 14.1
Entry(1175): County: Gurabo Municipio, State: Puerto Rico, Total Pop: 47074, Income: 32625, Poverty: 31.1
Entry(1176): County: Guthrie County, State: Iowa, Total Pop: 10664, Income: 56306, Poverty: 10.1
Entry(1177): County: Guánica Municipio, State: Puerto Rico, Total Pop: 17327, Income: 12653, Poverty: 65.2
Entry(1178): County: Gwinnett County, State: Georgia, Total Pop: 889954, Income: 64496, Poverty: 12.1
Entry(1179): County: Haakon County, State: South Dakota, Total Pop: 2084, Income: 38873, Poverty: 17.2
Entry(1180): County: Habersham County, State: Georgia, Total Pop: 43878, Income: 44474, Poverty: 17.2
Entry(1181): County: Haines Borough, State: Alaska, Total Pop: 2537, Income: 70640, Poverty: 8.4
Entry(1182): County: Hale County, State: Alabama, Total Pop: 14995, Income: 34679, Poverty: 26.1
Entry(1183): County: Hale County, State: Texas, Total Pop: 34527, Income: 46012, Poverty: 19.8
Entry(1184): County: Halifax County, State: Virginia, Total Pop: 35030, Income: 39233, Poverty: 18.7
Entry(1185): County: Halifax County, State: North Carolina, Total Pop: 52300, Income: 33573, Poverty: 26.8
Entry(1186): County: Hall County, State: Georgia, Total Pop: 192865, Income: 55622, Poverty: 16.1
Entry(1187): County: Hall County, State: Nebraska, Total Pop: 61233, Income: 53807, Poverty: 13.5
Entry(1188): County: Hall County, State: Texas, Total Pop: 3102, Income: 31324, Poverty: 22.2
Entry(1189): County: Hamblen County, State: Tennessee, Total Pop: 63465, Income: 42042, Poverty: 19.8
Entry(1190): County: Hamilton County, State: Indiana, Total Pop: 309687, Income: 90582, Poverty: 5.0
