Entry(0): State: Alabama, Total Pop: 55036, County: Autauga County, Income: 55317, Poverty: 13.7
Entry(697): State: Indiana, Total Pop: 8685, County: Benton County, Income: 49183, Poverty: 14.9
Entry(698): State: Indiana, Total Pop: 38248, County: Cass County, Income: 45558, Poverty: 13.9
Entry(699): State: Indiana, Total Pop: 32777, County: Daviess County, Income: 48355, Poverty: 13.0
Entry(700): State: Indiana, Total Pop: 42379, County: Dubois County, Income: 57307, Poverty: 10.0
Entry(701): State: Indiana, Total Pop: 22835, County: Franklin County, Income: 55588, Poverty: 9.9
Entry(702): State: Indiana, Total Pop: 309687, County: Hamilton County, Income: 90582, Poverty: 5.0
Entry(703): State: Indiana, Total Pop: 82457, County: Howard County, Income: 47958, Poverty: 16.5
Entry(704): State: Indiana, Total Pop: 32293, County: Jefferson County, Income: 50722, Poverty: 13.7
Entry(705): State: Indiana, Total Pop: 38720, County: LaGrange County, Income: 58336, Poverty: 9.1
Entry(706): State: Indiana, Total Pop: 939964, County: Marion County, Income: 44869, Poverty: 19.8
Entry(707): State: Indiana, Total Pop: 38288, County: Montgomery County, Income: 53075, Poverty: 10.2
Entry(708): State: Indiana, Total Pop: 19623, County: Orange County, Income: 42803, Poverty: 15.0
Entry(709): State: Indiana, Total Pop: 167391, County: Porter County, Income: 65979, Poverty: 11.0
Entry(710): State: Indiana, Total Pop: 28372, County: Ripley County, Income: 53698, Poverty: 10.5
Entry(711): State: Indiana, Total Pop: 20610, County: Spencer County, Income: 55280, Poverty: 9.7
Entry(712): State: Indiana, Total Pop: 186081, County: Tippecanoe County, Income: 50486, Poverty: 20.9
Entry(713): State: Indiana, Total Pop: 107723, County: Vigo County, Income: 42030, Poverty: 19.9
Entry(714): State: Indiana, Total Pop: 66972, County: Wayne County, Income: 41813, Poverty: 18.2
Entry(715): State: Indiana, Total Pop: 12214, County: Blackford County, Income: 40622, Poverty: 12.8
Entry(716): State: Indiana, Total Pop: 114893, County: Clark County, Income: 52834, Poverty: 9.7
Entry(717): State: Indiana, Total Pop: 49564, County: Dearborn County, Income: 62905, Poverty: 10.1
Entry(718): State: Indiana, Total Pop: 202924, County: Elkhart County, Income: 52449, Poverty: 13.8
Entry(719): State: Indiana, Total Pop: 20296, County: Fulton County, Income: 47108, Poverty: 13.3
Entry(720): State: Indiana, Total Pop: 72776, County: Hancock County, Income: 70973, Poverty: 7.0
Entry(721): State: Indiana, Total Pop: 36520, County: Huntington County, Income: 50063, Poverty: 11.6
Entry(722): State: Indiana, Total Pop: 27840, County: Jennings County, Income: 48362, Poverty: 13.9
Entry(723): State: Indiana, Total Pop: 488694, County: Lake County, Income: 52559, Poverty: 16.8
Entry(724): State: Indiana, Total Pop: 46752, County: Marshall County, Income: 51869, Poverty: 11.5
Entry(725): State: Indiana, Total Pop: 69533, County: Morgan County, Income: 60317, Poverty: 11.8
Entry(726): State: Indiana, Total Pop: 20957, County: Owen County, Income: 48315, Poverty: 15.6
Entry(727): State: Indiana, Total Pop: 25599, County: Posey County, Income: 60992, Poverty: 9.5
Entry(728): State: Indiana, Total Pop: 16765, County: Rush County, Income: 47955, Poverty: 18.3
Entry(729): State: Indiana, Total Pop: 22966, County: Starke County, Income: 45526, Poverty: 16.7
Entry(730): State: Indiana, Total Pop: 15290, County: Tipton County, Income: 53931, Poverty: 9.4
Entry(731): State: Indiana, Total Pop: 31848, County: Wabash County, Income: 49052, Poverty: 13.3
Entry(732): State: Indiana, Total Pop: 27832, County: Wells County, Income: 53038, Poverty: 11.0
Entry(733): State: Indiana, Total Pop: 35018, County: Adams County, Income: 48290, Poverty: 18.9
Entry(734): State: Indiana, Total Pop: 63013, County: Boone County, Income: 75591, Poverty: 6.1
Entry(735): State: Indiana, Total Pop: 26375, County: Clay County, Income: 50924, Poverty: 13.9
Entry(736): State: Indiana, Total Pop: 26480, County: Decatur County, Income: 52270, Poverty: 11.4
Entry(737): State: Indiana, Total Pop: 23426, County: Fayette County, Income: 41476, Poverty: 18.2
Entry(738): State: Indiana, Total Pop: 33596, County: Gibson County, Income: 51149, Poverty: 10.7
Entry(739): State: Indiana, Total Pop: 39450, County: Harrison County, Income: 53897, Poverty: 12.9
Entry(740): State: Indiana, Total Pop: 43779, County: Jackson County, Income: 49080, Poverty: 15.6
Entry(741): State: Indiana, Total Pop: 149359, County: Johnson County, Income: 65272, Poverty: 9.4
Entry(742): State: Indiana, Total Pop: 110839, County: LaPorte County, Income: 49921, Poverty: 16.6
Entry(743): State: Indiana, Total Pop: 10219, County: Martin County, Income: 49372, Poverty: 13.3
Entry(744): State: Indiana, Total Pop: 14056, County: Newton County, Income: 52193, Poverty: 14.0
Entry(745): State: Indiana, Total Pop: 17062, County: Parke County, Income: 44643, Poverty: 13.9
Entry(746): State: Indiana, Total Pop: 12761, County: Pulaski County, Income: 47633, Poverty: 13.2
Entry(747): State: Indiana, Total Pop: 268613, County: St. Joseph County, Income: 48121, Poverty: 17.1
Entry(748): State: Indiana, Total Pop: 34459, County: Steuben County, Income: 52749, Poverty: 10.1
Entry(749): State: Indiana, Total Pop: 7225, County: Union County, Income: 45531, Poverty: 8.2
Entry(750): State: Indiana, Total Pop: 8269, County: Warren County, Income: 58950, Poverty: 9.5
Entry(751): State: Indiana, Total Pop: 24279, County: White County, Income: 51404, Poverty: 9.8
Entry(752): State: Indiana, Total Pop: 367747, County: Allen County, Income: 51091, Poverty: 14.7
Entry(753): State: Indiana, Total Pop: 15007, County: Brown County, Income: 59292, Poverty: 10.6
Entry(754): State: Indiana, Total Pop: 32455, County: Clinton County, Income: 51659, Poverty: 13.3
Entry(755): State: Indiana, Total Pop: 42524, County: DeKalb County, Income: 51374, Poverty: 12.5
Entry(756): State: Indiana, Total Pop: 76481, County: Floyd County, Income: 59451, Poverty: 10.8
Entry(757): State: Indiana, Total Pop: 67615, County: Grant County, Income: 42046, Poverty: 19.1
Entry(758): State: Indiana, Total Pop: 158170, County: Hendricks County, Income: 74245, Poverty: 5.1
Entry(759): State: Indiana, Total Pop: 33448, County: Jasper County, Income: 56574, Poverty: 9.0
Entry(760): State: Indiana, Total Pop: 37763, County: Knox County, Income: 44837, Poverty: 15.6
Entry(761): State: Indiana, Total Pop: 45669, County: Lawrence County, Income: 49985, Poverty: 11.5
Entry(762): State: Indiana, Total Pop: 36035, County: Miami County, Income: 46666, Poverty: 16.0
Entry(763): State: Indiana, Total Pop: 47421, County: Noble County, Income: 52393, Poverty: 9.3
Entry(764): State: Indiana, Total Pop: 19229, County: Perry County, Income: 49689, Poverty: 14.5
Entry(765): State: Indiana, Total Pop: 37543, County: Putnam County, Income: 55295, Poverty: 11.6
Entry(766): State: Indiana, Total Pop: 23722, County: Scott County, Income: 49243, Poverty: 13.7
Entry(767): State: Indiana, Total Pop: 20900, County: Sullivan County, Income: 45031, Poverty: 15.6
Entry(768): State: Indiana, Total Pop: 181831, County: Vanderburgh County, Income: 44815, Poverty: 18.0
Entry(769): State: Indiana, Total Pop: 61581, County: Warrick County, Income: 66080, Poverty: 7.7
Entry(770): State: Indiana, Total Pop: 33481, County: Whitley County, Income: 57041, Poverty: 9.5
Entry(771): State: Indiana, Total Pop: 81024, County: Bartholomew County, Income: 57331, Poverty: 12.4
Entry(772): State: Indiana, Total Pop: 19994, County: Carroll County, Income: 56188, Poverty: 10.2
Entry(773): State: Indiana, Total Pop: 10598, County: Crawford County, Income: 40067, Poverty: 17.8
Entry(774): State: Indiana, Total Pop: 115938, County: Delaware County, Income: 41208, Poverty: 21.2
Entry(775): State: Indiana, Total Pop: 16620, County: Fountain County, Income: 46669, Poverty: 12.6
Entry(776): State: Indiana, Total Pop: 32431, County: Greene County, Income: 49648, Poverty: 12.9
Entry(777): State: Indiana, Total Pop: 48649, County: Henry County, Income: 46131, Poverty: 16.1
Entry(778): State: Indiana, Total Pop: 21107, County: Jay County, Income: 42878, Poverty: 17.9
Entry(779): State: Indiana, Total Pop: 78720, County: Kosciusko County, Income: 57190, Poverty: 11.2
Entry(780): State: Indiana, Total Pop: 129641, County: Madison County, Income: 45432, Poverty: 17.4
Entry(781): State: Indiana, Total Pop: 144436, County: Monroe County, Income: 45689, Poverty: 24.7
Entry(782): State: Indiana, Total Pop: 5911, County: Ohio County, Income: 58359, Poverty: 5.0
Entry(783): State: Indiana, Total Pop: 12471, County: Pike County, Income: 50196, Poverty: 10.6
Entry(784): State: Indiana, Total Pop: 25203, County: Randolph County, Income: 44985, Poverty: 17.0
Entry(785): State: Indiana, Total Pop: 44339, County: Shelby County, Income: 57216, Poverty: 10.6
Entry(786): State: Indiana, Total Pop: 10617, County: Switzerland County, Income: 43468, Poverty: 19.7
Entry(787): State: Indiana, Total Pop: 15644, County: Vermillion County, Income: 45440, Poverty: 13.4
Entry(788): State: Indiana, Total Pop: 27807, County: Washington County, Income: 46861, Poverty: 13.3
Entry(789): State: Iowa, Total Pop: 3785, County: Adams County, Income: 49745, Poverty: 11.2
Entry(790): State: Iowa, Total Pop: 132960, County: Black Hawk County, Income: 50916, Poverty: 15.9
Entry(791): State: Iowa, Total Pop: 14822, County: Butler County, Income: 53937, Poverty: 9.4
Entry(792): State: Iowa, Total Pop: 43134, County: Cerro Gordo County, Income: 50569, Poverty: 11.3
Entry(793): State: Iowa, Total Pop: 17711, County: Clayton County, Income: 51114, Poverty: 10.4
Entry(794): State: Iowa, Total Pop: 8105, County: Decatur County, Income: 41042, Poverty: 19.1
Entry(795): State: Iowa, Total Pop: 9661, County: Emmet County, Income: 47419, Poverty: 13.8
Entry(796): State: Iowa, Total Pop: 9046, County: Greene County, Income: 52529, Poverty: 10.0
Entry(797): State: Iowa, Total Pop: 17239, County: Hardin County, Income: 52207, Poverty: 8.0
Entry(798): State: Iowa, Total Pop: 6965, County: Ida County, Income: 51978, Poverty: 10.3
Entry(799): State: Iowa, Total Pop: 144425, County: Johnson County, Income: 59965, Poverty: 17.7
Entry(800): State: Iowa, Total Pop: 220008, County: Linn County, Income: 62702, Poverty: 9.5
Entry(801): State: Iowa, Total Pop: 22301, County: Mahaska County, Income: 50568, Poverty: 14.4
Entry(802): State: Iowa, Total Pop: 8865, County: Monona County, Income: 41598, Poverty: 14.9
Entry(803): State: Iowa, Total Pop: 6149, County: Osceola County, Income: 53604, Poverty: 11.4
Entry(804): State: Iowa, Total Pop: 467235, County: Polk County, Income: 63530, Poverty: 11.7
Entry(805): State: Iowa, Total Pop: 171493, County: Scott County, Income: 57681, Poverty: 12.3
Entry(806): State: Iowa, Total Pop: 6214, County: Taylor County, Income: 46825, Poverty: 11.0
Entry(807): State: Iowa, Total Pop: 22095, County: Washington County, Income: 59157, Poverty: 9.1
Entry(808): State: Iowa, Total Pop: 102397, County: Woodbury County, Income: 51350, Poverty: 14.0
Entry(809): State: Iowa, Total Pop: 13940, County: Allamakee County, Income: 47895, Poverty: 11.4
Entry(810): State: Iowa, Total Pop: 26381, County: Boone County, Income: 57906, Poverty: 9.4
Entry(811): State: Iowa, Total Pop: 9814, County: Calhoun County, Income: 46302, Poverty: 15.3
Entry(812): State: Iowa, Total Pop: 11577, County: Cherokee County, Income: 53998, Poverty: 11.9
Entry(813): State: Iowa, Total Pop: 47587, County: Clinton County, Income: 50295, Poverty: 13.1
Entry(814): State: Iowa, Total Pop: 17326, County: Delaware County, Income: 60534, Poverty: 9.2
Entry(815): State: Iowa, Total Pop: 20139, County: Fayette County, Income: 48412, Poverty: 12.8
Entry(816): State: Iowa, Total Pop: 12354, County: Grundy County, Income: 65170, Poverty: 5.8
Entry(817): State: Iowa, Total Pop: 14196, County: Harrison County, Income: 57558, Poverty: 10.4
Entry(818): State: Iowa, Total Pop: 16231, County: Iowa County, Income: 58077, Poverty: 9.8
Entry(819): State: Iowa, Total Pop: 20468, County: Jones County, Income: 58391, Poverty: 9.1
Entry(820): State: Iowa, Total Pop: 11238, County: Louisa County, Income: 54393, Poverty: 11.0
Entry(821): State: Iowa, Total Pop: 33127, County: Marion County, Income: 57917, Poverty: 9.3
Entry(822): State: Iowa, Total Pop: 7912, County: Monroe County, Income: 50179, Poverty: 10.9
Entry(823): State: Iowa, Total Pop: 15393, County: Page County, Income: 46708, Poverty: 13.6
Entry(824): State: Iowa, Total Pop: 93287, County: Pottawattamie County, Income: 56291, Poverty: 11.2
Entry(825): State: Iowa, Total Pop: 11772, County: Shelby County, Income: 55638, Poverty: 8.7
Entry(826): State: Iowa, Total Pop: 12497, County: Union County, Income: 47597, Poverty: 13.8
Entry(827): State: Iowa, Total Pop: 6405, County: Wayne County, Income: 42434, Poverty: 15.9
Entry(828): State: Iowa, Total Pop: 7502, County: Worth County, Income: 50880, Poverty: 10.1
Entry(829): State: Iowa, Total Pop: 12547, County: Appanoose County, Income: 40377, Poverty: 17.1
Entry(830): State: Iowa, Total Pop: 24741, County: Bremer County, Income: 65440, Poverty: 7.7
Entry(831): State: Iowa, Total Pop: 20428, County: Carroll County, Income: 54563, Poverty: 10.3
Entry(832): State: Iowa, Total Pop: 12140, County: Chickasaw County, Income: 50688, Poverty: 8.9
Entry(833): State: Iowa, Total Pop: 17131, County: Crawford County, Income: 51091, Poverty: 18.5
Entry(834): State: Iowa, Total Pop: 39876, County: Des Moines County, Income: 47524, Poverty: 15.3
Entry(835): State: Iowa, Total Pop: 15904, County: Floyd County, Income: 48607, Poverty: 15.6
Entry(836): State: Iowa, Total Pop: 10664, County: Guthrie County, Income: 56306, Poverty: 10.1
Entry(837): State: Iowa, Total Pop: 19865, County: Henry County, Income: 52275, Poverty: 12.2
Entry(838): State: Iowa, Total Pop: 19409, County: Jackson County, Income: 51806, Poverty: 12.0
Entry(839): State: Iowa, Total Pop: 10223, County: Keokuk County, Income: 48399, Poverty: 11.2
Entry(840): State: Iowa, Total Pop: 8600, County: Lucas County, Income: 47325, Poverty: 9.9
Entry(841): State: Iowa, Total Pop: 40476, County: Marshall County, Income: 52752, Poverty: 11.2
Entry(842): State: Iowa, Total Pop: 10239, County: Montgomery County, Income: 43674, Poverty: 16.5
Entry(843): State: Iowa, Total Pop: 9110, County: Palo Alto County, Income: 50470, Poverty: 7.1
Entry(844): State: Iowa, Total Pop: 18428, County: Poweshiek County, Income: 51456, Poverty: 10.7
Entry(845): State: Iowa, Total Pop: 34692, County: Sioux County, Income: 66022, Poverty: 7.9
Entry(846): State: Iowa, Total Pop: 7308, County: Van Buren County, Income: 47197, Poverty: 14.0
Entry(847): State: Iowa, Total Pop: 36945, County: Webster County, Income: 42148, Poverty: 16.2
Entry(848): State: Iowa, Total Pop: 12864, County: Wright County, Income: 48935, Poverty: 12.6
Entry(849): State: Iowa, Total Pop: 5711, County: Audubon County, Income: 48750, Poverty: 11.1
Entry(850): State: Iowa, Total Pop: 21101, County: Buchanan County, Income: 59348, Poverty: 7.8
Entry(851): State: Iowa, Total Pop: 13327, County: Cass County, Income: 45637, Poverty: 15.1
Entry(852): State: Iowa, Total Pop: 9267, County: Clarke County, Income: 49718, Poverty: 15.4
Entry(853): State: Iowa, Total Pop: 80864, County: Dallas County, Income: 82719, Poverty: 5.4
Entry(854): State: Iowa, Total Pop: 17000, County: Dickinson County, Income: 59889, Poverty: 8.1
Entry(855): State: Iowa, Total Pop: 10326, County: Franklin County, Income: 48172, Poverty: 15.6
Entry(856): State: Iowa, Total Pop: 15201, County: Hamilton County, Income: 55836, Poverty: 9.4
Entry(857): State: Iowa, Total Pop: 9321, County: Howard County, Income: 51422, Poverty: 11.6
Entry(858): State: Iowa, Total Pop: 36789, County: Jasper County, Income: 56363, Poverty: 9.1
Entry(859): State: Iowa, Total Pop: 15166, County: Kossuth County, Income: 54868, Poverty: 10.0
Entry(860): State: Iowa, Total Pop: 11745, County: Lyon County, Income: 62012, Poverty: 4.9
Entry(861): State: Iowa, Total Pop: 14933, County: Mills County, Income: 67949, Poverty: 9.1
Entry(862): State: Iowa, Total Pop: 42923, County: Muscatine County, Income: 56398, Poverty: 10.5
Entry(863): State: Iowa, Total Pop: 25027, County: Plymouth County, Income: 61316, Poverty: 9.1
Entry(864): State: Iowa, Total Pop: 4986, County: Ringgold County, Income: 50642, Poverty: 10.9
Entry(865): State: Iowa, Total Pop: 95888, County: Story County, Income: 52671, Poverty: 22.0
Entry(866): State: Iowa, Total Pop: 35321, County: Wapello County, Income: 43329, Poverty: 17.0
Entry(867): State: Iowa, Total Pop: 10545, County: Winnebago County, Income: 50072, Poverty: 10.1
Entry(868): State: Iowa, Total Pop: 7192, County: Adair County, Income: 49477, Poverty: 9.5
Entry(869): State: Iowa, Total Pop: 25646, County: Benton County, Income: 64061, Poverty: 8.7
Entry(870): State: Iowa, Total Pop: 20369, County: Buena Vista County, Income: 52784, Poverty: 13.7
Entry(871): State: Iowa, Total Pop: 18368, County: Cedar County, Income: 62555, Poverty: 5.4
Entry(872): State: Iowa, Total Pop: 16387, County: Clay County, Income: 48978, Poverty: 11.8
Entry(873): State: Iowa, Total Pop: 8834, County: Davis County, Income: 52390, Poverty: 13.7
Entry(874): State: Iowa, Total Pop: 96571, County: Dubuque County, Income: 59150, Poverty: 11.9
Entry(875): State: Iowa, Total Pop: 6985, County: Fremont County, Income: 54430, Poverty: 11.0
Entry(876): State: Iowa, Total Pop: 10971, County: Hancock County, Income: 57840, Poverty: 9.1
Entry(877): State: Iowa, Total Pop: 9586, County: Humboldt County, Income: 48847, Poverty: 13.0
Entry(878): State: Iowa, Total Pop: 17945, County: Jefferson County, Income: 44516, Poverty: 15.2
Entry(879): State: Iowa, Total Pop: 34785, County: Lee County, Income: 48266, Poverty: 16.3
Entry(880): State: Iowa, Total Pop: 15720, County: Madison County, Income: 60077, Poverty: 7.3
Entry(881): State: Iowa, Total Pop: 10663, County: Mitchell County, Income: 53675, Poverty: 8.3
Entry(882): State: Iowa, Total Pop: 13944, County: O'Brien County, Income: 56314, Poverty: 9.7
Entry(883): State: Iowa, Total Pop: 6972, County: Pocahontas County, Income: 45969, Poverty: 13.2
Entry(884): State: Iowa, Total Pop: 9936, County: Sac County, Income: 53254, Poverty: 9.4
Entry(885): State: Iowa, Total Pop: 17236, County: Tama County, Income: 56110, Poverty: 11.8
Entry(886): State: Iowa, Total Pop: 48630, County: Warren County, Income: 71514, Poverty: 6.2
Entry(887): State: Iowa, Total Pop: 20575, County: Winneshiek County, Income: 60788, Poverty: 8.0
Entry(888): State: Kansas, Total Pop: 16466, County: Atchison County, Income: 46640, Poverty: 18.5
Entry(889): State: Kansas, Total Pop: 66260, County: Butler County, Income: 62324, Poverty: 10.8
Entry(890): State: Kansas, Total Pop: 2089, County: Clark County, Income: 46094, Poverty: 8.9
Entry(891): State: Kansas, Total Pop: 35732, County: Cowley County, Income: 46624, Poverty: 16.0
Entry(892): State: Kansas, Total Pop: 117806, County: Douglas County, Income: 54370, Poverty: 18.7
Entry(893): State: Kansas, Total Pop: 37097, County: Finney County, Income: 51703, Poverty: 16.2
Entry(894): State: Kansas, Total Pop: 2561, County: Graham County, Income: 43427, Poverty: 12.3
Entry(895): State: Kansas, Total Pop: 2621, County: Hamilton County, Income: 48160, Poverty: 9.3
Entry(896): State: Kansas, Total Pop: 13322, County: Jackson County, Income: 53592, Poverty: 9.9
Entry(897): State: Kansas, Total Pop: 7576, County: Kingman County, Income: 57593, Poverty: 7.6
Entry(898): State: Kansas, Total Pop: 3121, County: Lincoln County, Income: 48693, Poverty: 8.4
Entry(899): State: Kansas, Total Pop: 12087, County: Marion County, Income: 50212, Poverty: 10.7
Entry(900): State: Kansas, Total Pop: 33463, County: Montgomery County, Income: 43977, Poverty: 17.5
Entry(901): State: Kansas, Total Pop: 3001, County: Ness County, Income: 48412, Poverty: 8.9
Entry(902): State: Kansas, Total Pop: 6776, County: Pawnee County, Income: 46224, Poverty: 7.8
Entry(903): State: Kansas, Total Pop: 63360, County: Reno County, Income: 47897, Poverty: 14.0
Entry(904): State: Kansas, Total Pop: 3119, County: Rush County, Income: 43594, Poverty: 6.7
Entry(905): State: Kansas, Total Pop: 22948, County: Seward County, Income: 47535, Poverty: 18.8
Entry(906): State: Kansas, Total Pop: 4251, County: Stafford County, Income: 47121, Poverty: 14.5
Entry(907): State: Kansas, Total Pop: 2899, County: Trego County, Income: 55197, Poverty: 4.8
Entry(908): State: Kansas, Total Pop: 8858, County: Wilson County, Income: 44468, Poverty: 16.8
Entry(909): State: Kansas, Total Pop: 4905, County: Barber County, Income: 52075, Poverty: 15.9
Entry(910): State: Kansas, Total Pop: 2665, County: Chase County, Income: 42772, Poverty: 12.6
Entry(911): State: Kansas, Total Pop: 8203, County: Clay County, Income: 55434, Poverty: 9.4
Entry(912): State: Kansas, Total Pop: 39099, County: Crawford County, Income: 38017, Poverty: 21.1
Entry(913): State: Kansas, Total Pop: 2946, County: Edwards County, Income: 50229, Poverty: 10.2
Entry(914): State: Kansas, Total Pop: 34658, County: Ford County, Income: 49890, Poverty: 16.2
Entry(915): State: Kansas, Total Pop: 7716, County: Grant County, Income: 57474, Poverty: 10.0
Entry(916): State: Kansas, Total Pop: 5746, County: Harper County, Income: 48059, Poverty: 16.8
Entry(917): State: Kansas, Total Pop: 18856, County: Jefferson County, Income: 58935, Poverty: 8.3
Entry(918): State: Kansas, Total Pop: 2524, County: Kiowa County, Income: 48226, Poverty: 8.7
Entry(919): State: Kansas, Total Pop: 9602, County: Linn County, Income: 46576, Poverty: 17.4
Entry(920): State: Kansas, Total Pop: 9859, County: Marshall County, Income: 50420, Poverty: 8.9
Entry(921): State: Kansas, Total Pop: 5605, County: Morris County, Income: 50338, Poverty: 9.8
Entry(922): State: Kansas, Total Pop: 5527, County: Norton County, Income: 50673, Poverty: 11.6
Entry(923): State: Kansas, Total Pop: 5446, County: Phillips County, Income: 46806, Poverty: 8.1
Entry(924): State: Kansas, Total Pop: 4705, County: Republic County, Income: 43489, Poverty: 11.7
Entry(925): State: Kansas, Total Pop: 6987, County: Russell County, Income: 48427, Poverty: 13.8
Entry(926): State: Kansas, Total Pop: 178392, County: Shawnee County, Income: 54667, Poverty: 13.2
Entry(927): State: Kansas, Total Pop: 2107, County: Stanton County, Income: 42222, Poverty: 10.8
Entry(928): State: Kansas, Total Pop: 6918, County: Wabaunsee County, Income: 58947, Poverty: 6.1
Entry(929): State: Kansas, Total Pop: 3178, County: Woodson County, Income: 36493, Poverty: 20.6
Entry(930): State: Kansas, Total Pop: 27067, County: Barton County, Income: 46070, Poverty: 15.7
Entry(931): State: Kansas, Total Pop: 3425, County: Chautauqua County, Income: 39531, Poverty: 14.3
Entry(932): State: Kansas, Total Pop: 9191, County: Cloud County, Income: 44199, Poverty: 11.9
Entry(933): State: Kansas, Total Pop: 2891, County: Decatur County, Income: 41230, Poverty: 17.5
Entry(934): State: Kansas, Total Pop: 2581, County: Elk County, Income: 39405, Poverty: 13.5
Entry(935): State: Kansas, Total Pop: 25599, County: Franklin County, Income: 53167, Poverty: 12.5
Entry(936): State: Kansas, Total Pop: 6004, County: Gray County, Income: 61220, Poverty: 8.5
Entry(937): State: Kansas, Total Pop: 34683, County: Harvey County, Income: 55687, Poverty: 11.2
Entry(938): State: Kansas, Total Pop: 2963, County: Jewell County, Income: 43125, Poverty: 14.2
Entry(939): State: Kansas, Total Pop: 20553, County: Labette County, Income: 45706, Poverty: 17.8
Entry(940): State: Kansas, Total Pop: 2790, County: Logan County, Income: 49926, Poverty: 8.9
Entry(941): State: Kansas, Total Pop: 4295, County: Meade County, Income: 54167, Poverty: 12.2
Entry(942): State: Kansas, Total Pop: 2931, County: Morton County, Income: 43813, Poverty: 8.0
Entry(943): State: Kansas, Total Pop: 15894, County: Osage County, Income: 54186, Poverty: 12.8
Entry(944): State: Kansas, Total Pop: 23188, County: Pottawatomie County, Income: 64410, Poverty: 9.7
Entry(945): State: Kansas, Total Pop: 9868, County: Rice County, Income: 48333, Poverty: 16.4
Entry(946): State: Kansas, Total Pop: 55334, County: Saline County, Income: 49728, Poverty: 12.6
Entry(947): State: Kansas, Total Pop: 2497, County: Sheridan County, Income: 56607, Poverty: 4.8
Entry(948): State: Kansas, Total Pop: 5741, County: Stevens County, Income: 57500, Poverty: 16.8
Entry(949): State: Kansas, Total Pop: 1591, County: Wallace County, Income: 60000, Poverty: 10.6
Entry(950): State: Kansas, Total Pop: 163227, County: Wyandotte County, Income: 42783, Poverty: 21.4
Entry(951): State: Kansas, Total Pop: 12752, County: Allen County, Income: 43031, Poverty: 14.2
Entry(952): State: Kansas, Total Pop: 14757, County: Bourbon County, Income: 39379, Poverty: 17.6
Entry(953): State: Kansas, Total Pop: 20501, County: Cherokee County, Income: 41101, Poverty: 13.7
Entry(954): State: Kansas, Total Pop: 8328, County: Coffey County, Income: 58662, Poverty: 11.3
Entry(955): State: Kansas, Total Pop: 19162, County: Dickinson County, Income: 49663, Poverty: 11.6
Entry(956): State: Kansas, Total Pop: 28877, County: Ellis County, Income: 49562, Poverty: 16.7
Entry(957): State: Kansas, Total Pop: 35796, County: Geary County, Income: 46096, Poverty: 14.9
Entry(958): State: Kansas, Total Pop: 1210, County: Greeley County, Income: 47045, Poverty: 11.5
Entry(959): State: Kansas, Total Pop: 4081, County: Haskell County, Income: 53780, Poverty: 13.3
Entry(960): State: Kansas, Total Pop: 578797, County: Johnson County, Income: 81121, Poverty: 5.6
Entry(961): State: Kansas, Total Pop: 1702, County: Lane County, Income: 51765, Poverty: 10.7
Entry(962): State: Kansas, Total Pop: 33302, County: Lyon County, Income: 42992, Poverty: 18.6
Entry(963): State: Kansas, Total Pop: 32976, County: Miami County, Income: 63501, Poverty: 7.7
Entry(964): State: Kansas, Total Pop: 10095, County: Nemaha County, Income: 53368, Poverty: 10.8
Entry(965): State: Kansas, Total Pop: 3684, County: Osborne County, Income: 42173, Poverty: 15.5
Entry(966): State: Kansas, Total Pop: 9670, County: Pratt County, Income: 53415, Poverty: 10.9
Entry(967): State: Kansas, Total Pop: 75696, County: Riley County, Income: 48428, Poverty: 22.0
Entry(968): State: Kansas, Total Pop: 4981, County: Scott County, Income: 62198, Poverty: 4.3
Entry(969): State: Kansas, Total Pop: 5999, County: Sherman County, Income: 52030, Poverty: 16.5
Entry(970): State: Kansas, Total Pop: 23336, County: Sumner County, Income: 52695, Poverty: 11.8
Entry(971): State: Kansas, Total Pop: 5572, County: Washington County, Income: 47992, Poverty: 9.7
Entry(972): State: Kansas, Total Pop: 7840, County: Anderson County, Income: 40986, Poverty: 13.6
Entry(973): State: Kansas, Total Pop: 9736, County: Brown County, Income: 46964, Poverty: 13.2
Entry(974): State: Kansas, Total Pop: 2677, County: Cheyenne County, Income: 47167, Poverty: 11.2
Entry(975): State: Kansas, Total Pop: 1741, County: Comanche County, Income: 51563, Poverty: 8.1
Entry(976): State: Kansas, Total Pop: 7790, County: Doniphan County, Income: 50300, Poverty: 13.7
Entry(977): State: Kansas, Total Pop: 6331, County: Ellsworth County, Income: 48550, Poverty: 11.4
Entry(978): State: Kansas, Total Pop: 2632, County: Gove County, Income: 50817, Poverty: 9.0
Entry(979): State: Kansas, Total Pop: 6227, County: Greenwood County, Income: 41648, Poverty: 12.4
Entry(980): State: Kansas, Total Pop: 1875, County: Hodgeman County, Income: 55345, Poverty: 8.4
Entry(981): State: Kansas, Total Pop: 3931, County: Kearny County, Income: 51439, Poverty: 13.2
Entry(982): State: Kansas, Total Pop: 79359, County: Leavenworth County, Income: 70022, Poverty: 9.0
Entry(983): State: Kansas, Total Pop: 28792, County: McPherson County, Income: 56946, Poverty: 7.6
Entry(984): State: Kansas, Total Pop: 6230, County: Mitchell County, Income: 44591, Poverty: 14.8
Entry(985): State: Kansas, Total Pop: 16209, County: Neosho County, Income: 44402, Poverty: 21.4
Entry(986): State: Kansas, Total Pop: 5957, County: Ottawa County, Income: 51797, Poverty: 9.7
